--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20100607 00:00	59.1	59.1	59.1	76	51.5	3	6	292	0.00	29.670	0	0.002	-100000.0
20100607 00:05	59.0	59.0	59.0	76	51.4	2	6	270	0.00	29.670	0	0.000	-100000.0
20100607 00:10	59.0	59.0	59.0	75	51.1	3	7	0	0.00	29.670	0	0.000	-100000.0
20100607 00:15	59.0	59.0	59.0	75	51.1	3	9	315	0.00	29.674	0	0.000	-100000.0
20100607 00:20	59.0	59.0	59.0	75	51.1	3	10	270	0.00	29.674	0	0.000	-100000.0
20100607 00:25	59.0	59.0	59.0	74	50.7	2	6	270	0.00	29.674	0	0.000	-100000.0
20100607 00:30	59.0	59.0	59.0	75	51.1	3	10	248	0.00	29.668	0	0.000	-100000.0
20100607 00:35	58.9	58.9	58.9	75	51.0	3	6	248	0.00	29.668	0	0.000	-100000.0
20100607 00:40	58.8	58.8	58.8	75	50.9	2	6	315	0.00	29.668	0	0.000	-100000.0
20100607 00:45	58.6	58.6	58.6	75	50.7	1	3	315	0.00	29.668	0	0.000	-100000.0
20100607 00:50	58.5	58.5	58.5	76	51.0	1	4	315	0.00	29.668	0	0.000	-100000.0
20100607 00:55	58.3	58.3	58.3	76	50.8	0	2	315	0.00	29.668	0	0.000	-100000.0
20100607 01:00	58.1	58.1	58.1	77	50.9	0	0	-100000	0.00	29.674	0	0.001	-100000.0
20100607 01:05	58.0	58.0	58.0	77	50.8	0	1	315	0.00	29.674	0	0.000	-100000.0
20100607 01:10	58.1	58.1	58.1	78	51.3	0	1	315	0.00	29.674	0	0.000	-100000.0
20100607 01:15	57.9	57.9	57.9	78	51.1	0	1	315	0.00	29.675	0	0.000	-100000.0
20100607 01:20	57.9	57.9	57.9	78	51.1	0	2	315	0.00	29.675	0	0.000	-100000.0
20100607 01:25	58.0	58.0	58.0	78	51.2	0	2	315	0.00	29.675	0	0.000	-100000.0
20100607 01:30	58.1	58.1	58.1	77	50.9	0	1	315	0.00	29.677	0	0.000	-100000.0
20100607 01:35	58.1	58.1	58.1	78	51.3	0	1	315	0.00	29.677	0	0.000	-100000.0
20100607 01:40	58.0	58.0	58.0	79	51.5	0	1	315	0.00	29.677	0	0.000	-100000.0
20100607 01:45	57.9	57.9	57.9	79	51.4	0	1	315	0.00	29.683	0	0.000	-100000.0
20100607 01:50	57.8	57.8	57.8	79	51.3	0	1	315	0.00	29.683	0	0.000	-100000.0
20100607 01:55	57.7	57.7	57.7	79	51.2	0	1	315	0.00	29.683	0	0.000	-100000.0
20100607 02:00	57.7	57.7	57.7	79	51.2	0	1	315	0.00	29.683	0	0.001	-100000.0
20100607 02:05	57.7	57.7	57.7	80	51.6	0	1	315	0.00	29.683	0	0.000	-100000.0
20100607 02:10	57.5	57.5	57.5	81	51.7	0	1	315	0.00	29.683	0	0.000	-100000.0
20100607 02:15	57.4	57.4	57.4	81	51.6	0	0	-100000	0.00	29.684	0	0.000	-100000.0
20100607 02:20	57.3	57.3	57.3	81	51.5	0	1	315	0.00	29.684	0	0.000	-100000.0
20100607 02:25	57.2	57.2	57.2	82	51.8	0	1	315	0.00	29.684	0	0.000	-100000.0
20100607 02:30	57.2	57.2	57.2	81	51.4	0	1	315	0.00	29.689	0	0.000	-100000.0
20100607 02:35	57.1	57.1	57.1	81	51.3	0	1	315	0.00	29.689	0	0.000	-100000.0
20100607 02:40	57.1	57.1	57.1	81	51.3	0	2	315	0.00	29.689	0	0.000	-100000.0
20100607 02:45	56.9	56.9	56.9	82	51.5	0	2	315	0.00	29.690	0	0.000	-100000.0
20100607 02:50	56.9	56.9	56.9	81	51.1	1	3	315	0.00	29.690	0	0.000	-100000.0
20100607 02:55	56.8	56.8	56.8	81	51.0	1	4	315	0.00	29.690	0	0.000	-100000.0
20100607 03:00	56.7	56.7	56.7	81	50.9	0	3	315	0.00	29.695	0	0.001	-100000.0
20100607 03:05	56.6	56.6	56.6	81	50.8	0	1	315	0.00	29.695	0	0.000	-100000.0
20100607 03:10	56.5	56.5	56.5	81	50.7	0	2	315	0.00	29.695	0	0.000	-100000.0
20100607 03:15	56.4	56.4	56.4	82	51.0	0	1	315	0.00	29.699	0	0.000	-100000.0
20100607 03:20	56.2	56.2	56.2	82	50.8	0	2	315	0.00	29.699	0	0.000	-100000.0
20100607 03:25	55.9	55.9	55.9	83	50.8	1	3	315	0.00	29.699	0	0.000	-100000.0
20100607 03:30	55.8	55.8	55.8	82	50.4	1	4	315	0.00	29.704	0	0.000	-100000.0
20100607 03:35	55.7	55.7	55.7	82	50.3	0	1	315	0.00	29.704	0	0.000	-100000.0
20100607 03:40	55.6	55.6	55.6	82	50.2	0	1	315	0.00	29.704	0	0.000	-100000.0
20100607 03:45	55.3	55.3	55.3	83	50.2	0	1	315	0.00	29.704	0	0.000	-100000.0
20100607 03:50	54.8	54.8	54.8	84	50.1	0	1	315	0.00	29.704	0	0.000	-100000.0
20100607 03:55	54.5	54.5	54.5	85	50.1	0	1	315	0.00	29.704	0	0.000	-100000.0
20100607 04:00	54.3	54.3	54.3	86	50.2	0	0	-100000	0.00	29.707	0	0.001	-100000.0
20100607 04:05	54.1	54.1	54.1	87	50.3	0	1	315	0.00	29.707	0	0.000	-100000.0
20100607 04:10	54.1	54.1	54.1	87	50.3	0	1	315	0.00	29.707	0	0.000	-100000.0
20100607 04:15	53.9	53.9	53.9	87	50.1	0	1	315	0.00	29.714	0	0.000	-100000.0
