--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20121228 00:00	29.4	21.1	29.4	80	24.0	9	14	315	0.00	29.761	0	0.001	-100000.0
20121228 00:05	29.4	25.1	29.4	80	24.0	4	13	315	0.00	29.761	0	0.000	-100000.0
20121228 00:10	29.3	23.0	29.3	80	23.9	6	12	292	0.00	29.761	0	0.000	-100000.0
20121228 00:15	29.3	22.2	29.3	80	23.9	7	17	292	0.00	29.769	0	0.000	-100000.0
20121228 00:20	29.2	21.4	29.2	79	23.5	8	18	338	0.00	29.769	0	0.000	-100000.0
20121228 00:25	29.2	23.8	29.2	80	23.8	5	14	270	0.00	29.769	0	0.000	-100000.0
20121228 00:30	29.1	29.1	29.1	80	23.7	2	5	315	0.00	29.773	0	0.000	-100000.0
20121228 00:35	29.0	29.0	29.0	80	23.6	1	4	292	0.00	29.773	0	0.000	-100000.0
20121228 00:40	29.1	23.7	29.1	80	23.7	5	13	292	0.00	29.773	0	0.000	-100000.0
20121228 00:45	29.1	22.0	29.1	79	23.4	7	14	315	0.00	29.777	0	0.000	-100000.0
20121228 00:50	29.0	22.7	29.0	79	23.3	6	14	338	0.00	29.777	0	0.000	-100000.0
20121228 00:55	29.1	19.1	29.1	78	23.1	12	24	315	0.00	29.777	0	0.000	-100000.0
20121228 01:00	29.0	21.2	29.0	78	23.0	8	17	0	0.00	29.786	0	0.001	-100000.0
20121228 01:05	29.0	20.0	29.0	78	23.0	10	20	315	0.00	29.786	0	0.000	-100000.0
20121228 01:10	28.9	21.8	28.9	78	22.9	7	13	0	0.00	29.786	0	0.000	-100000.0
20121228 01:15	28.8	19.8	28.8	78	22.8	10	20	338	0.00	29.793	0	0.000	-100000.0
20121228 01:20	28.8	19.8	28.8	78	22.8	10	19	0	0.00	29.793	0	0.000	-100000.0
20121228 01:25	28.7	20.2	28.7	78	22.7	9	16	338	0.00	29.793	0	0.000	-100000.0
