--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20111015 00:00	58.0	58.0	58.0	90	55.1	1	5	225	0.00	29.412	0	0.001	-100000.0
20111015 00:05	57.9	57.9	57.9	90	55.0	1	6	225	0.00	29.412	0	0.000	-100000.0
20111015 00:10	57.8	57.8	57.8	90	54.9	5	14	225	0.00	29.412	0	0.000	-100000.0
20111015 00:15	57.8	57.8	57.8	88	54.3	6	14	270	0.00	29.413	0	0.000	-100000.0
20111015 00:20	57.9	57.9	57.9	87	54.1	5	17	225	0.00	29.413	0	0.000	-100000.0
20111015 00:25	58.0	58.0	58.0	86	53.8	5	13	225	0.00	29.413	0	0.000	-100000.0
20111015 00:30	57.9	57.9	57.9	86	53.7	2	10	225	0.00	29.420	0	0.000	-100000.0
20111015 00:35	57.7	57.7	57.7	86	53.5	3	10	225	0.00	29.420	0	0.000	-100000.0
20111015 00:40	57.8	57.8	57.8	85	53.3	3	15	225	0.00	29.420	0	0.000	-100000.0
20111015 00:45	57.7	57.7	57.7	86	53.5	2	5	225	0.00	29.428	0	0.000	-100000.0
20111015 00:50	57.6	57.6	57.6	85	53.1	2	10	225	0.00	29.428	0	0.000	-100000.0
20111015 00:55	57.7	57.7	57.7	84	52.9	7	15	225	0.00	29.428	0	0.000	-100000.0
20111015 01:00	57.8	57.8	57.8	83	52.7	5	15	225	0.00	29.439	0	0.001	-100000.0
20111015 01:05	57.8	57.8	57.8	84	53.0	5	12	225	0.00	29.439	0	0.000	-100000.0
20111015 01:10	57.7	57.7	57.7	84	52.9	4	11	225	0.00	29.439	0	0.000	-100000.0
20111015 01:15	57.7	57.7	57.7	83	52.6	4	13	225	0.00	29.443	0	0.000	-100000.0
20111015 01:20	57.8	57.8	57.8	83	52.7	4	11	225	0.00	29.443	0	0.000	-100000.0
20111015 01:25	57.7	57.7	57.7	84	52.9	2	6	225	0.00	29.443	0	0.000	-100000.0
20111015 01:30	57.5	57.5	57.5	84	52.7	2	6	202	0.00	29.444	0	0.000	-100000.0
20111015 01:35	57.4	57.4	57.4	85	52.9	1	3	225	0.00	29.444	0	0.000	-100000.0
20111015 01:40	57.3	57.3	57.3	85	52.8	1	5	202	0.00	29.444	0	0.000	-100000.0
20111015 01:45	57.2	57.2	57.2	85	52.7	1	5	225	0.00	29.445	0	0.000	-100000.0
20111015 01:50	57.1	57.1	57.1	85	52.6	2	4	248	0.00	29.445	0	0.000	-100000.0
20111015 01:55	57.0	57.0	57.0	86	52.9	1	3	248	0.00	29.445	0	0.000	-100000.0
20111015 02:00	56.9	56.9	56.9	86	52.8	0	3	270	0.00	29.446	0	0.001	-100000.0
20111015 02:05	56.8	56.8	56.8	87	53.0	0	1	270	0.00	29.446	0	0.000	-100000.0
20111015 02:10	56.8	56.8	56.8	87	53.0	1	4	270	0.00	29.446	0	0.000	-100000.0
20111015 02:15	56.8	56.8	56.8	87	53.0	1	4	225	0.00	29.459	0	0.000	-100000.0
20111015 02:20	56.7	56.7	56.7	88	53.2	0	5	225	0.00	29.459	0	0.000	-100000.0
20111015 02:25	56.8	56.8	56.8	88	53.3	2	6	202	0.00	29.459	0	0.000	-100000.0
20111015 02:30	56.8	56.8	56.8	88	53.3	2	9	225	0.00	29.463	0	0.000	-100000.0
20111015 02:35	56.9	56.9	56.9	88	53.4	3	10	202	0.00	29.463	0	0.000	-100000.0
20111015 02:40	57.1	57.1	57.1	87	53.3	3	7	202	0.00	29.463	0	0.000	-100000.0
20111015 02:45	57.2	57.2	57.2	87	53.4	2	9	202	0.00	29.466	0	0.000	-100000.0
20111015 02:50	57.2	57.2	57.2	86	53.0	3	9	202	0.00	29.466	0	0.000	-100000.0
20111015 02:55	57.1	57.1	57.1	86	52.9	4	11	202	0.00	29.466	0	0.000	-100000.0
20111015 03:00	57.1	57.1	57.1	86	52.9	4	12	202	0.00	29.473	0	0.001	-100000.0
20111015 03:05	57.0	57.0	57.0	85	52.5	4	14	202	0.00	29.473	0	0.000	-100000.0
20111015 03:10	56.9	56.9	56.9	85	52.4	3	10	202	0.00	29.473	0	0.000	-100000.0
20111015 03:15	56.8	56.8	56.8	85	52.3	3	9	202	0.00	29.479	0	0.000	-100000.0
20111015 03:20	56.6	56.6	56.6	85	52.1	2	10	225	0.00	29.479	0	0.000	-100000.0
20111015 03:25	56.3	56.3	56.3	85	51.8	3	13	202	0.00	29.479	0	0.000	-100000.0
20111015 03:30	56.2	56.2	56.2	84	51.4	3	12	202	0.00	29.490	0	0.000	-100000.0
20111015 03:35	56.0	56.0	56.0	84	51.2	4	11	202	0.00	29.490	0	0.000	-100000.0
20111015 03:40	55.9	55.9	55.9	84	51.1	3	11	225	0.00	29.490	0	0.000	-100000.0
20111015 03:45	56.0	56.0	56.0	84	51.2	3	9	202	0.00	29.502	0	0.000	-100000.0
20111015 03:50	56.0	56.0	56.0	83	50.9	3	10	202	0.00	29.502	0	0.000	-100000.0
20111015 03:55	56.0	56.0	56.0	83	50.9	2	8	202	0.00	29.502	0	0.000	-100000.0
20111015 04:00	55.9	55.9	55.9	82	50.5	2	10	202	0.00	29.505	0	0.001	-100000.0
20111015 04:05	55.8	55.8	55.8	82	50.4	2	7	202	0.00	29.505	0	0.000	-100000.0
20111015 04:10	55.6	55.6	55.6	82	50.2	3	11	202	0.00	29.505	0	0.000	-100000.0
20111015 04:15	55.4	55.4	55.4	81	49.7	1	7	202	0.00	29.508	0	0.000	-100000.0
20111015 04:20	55.3	55.3	55.3	81	49.6	4	11	202	0.00	29.508	0	0.000	-100000.0
20111015 04:25	55.2	55.2	55.2	81	49.5	3	10	202	0.00	29.508	0	0.000	-100000.0
20111015 04:30	55.1	55.1	55.1	81	49.4	2	7	202	0.00	29.515	0	0.000	-100000.0
20111015 04:35	54.9	54.9	54.9	81	49.2	2	11	202	0.00	29.515	0	0.000	-100000.0
20111015 04:40	54.8	54.8	54.8	81	49.1	2	6	202	0.00	29.515	0	0.000	-100000.0
20111015 04:45	54.6	54.6	54.6	81	48.9	2	11	180	0.00	29.521	0	0.000	-100000.0
20111015 04:50	54.6	54.6	54.6	82	49.2	3	9	202	0.00	29.521	0	0.000	-100000.0
20111015 04:55	54.5	54.5	54.5	82	49.1	3	9	180	0.00	29.521	0	0.000	-100000.0
20111015 05:00	54.6	54.6	54.6	82	49.2	5	11	180	0.00	29.532	0	0.001	-100000.0
20111015 05:05	54.5	54.5	54.5	82	49.1	4	10	202	0.00	29.532	0	0.000	-100000.0
20111015 05:10	54.4	54.4	54.4	82	49.0	2	10	180	0.00	29.532	0	0.000	-100000.0
20111015 05:15	54.1	54.1	54.1	82	48.7	2	10	180	0.00	29.535	0	0.000	-100000.0
20111015 05:20	53.9	53.9	53.9	82	48.5	1	5	202	0.00	29.535	0	0.000	-100000.0
20111015 05:25	53.7	53.7	53.7	83	48.7	1	7	202	0.00	29.535	0	0.000	-100000.0
20111015 05:30	53.5	53.5	53.5	83	48.5	1	6	202	0.00	29.539	0	0.000	-100000.0
20111015 05:35	53.4	53.4	53.4	84	48.7	2	11	202	0.00	29.539	0	0.000	-100000.0
20111015 05:40	53.5	53.5	53.5	83	48.5	4	10	202	0.00	29.539	0	0.000	-100000.0
20111015 05:45	53.5	53.5	53.5	83	48.5	2	15	225	0.00	29.550	0	0.000	-100000.0
20111015 05:50	53.5	53.5	53.5	83	48.5	2	6	202	0.00	29.550	0	0.000	-100000.0
20111015 05:55	53.3	53.3	53.3	83	48.3	1	5	180	0.00	29.550	0	0.000	-100000.0
20111015 06:00	53.2	53.2	53.2	83	48.2	1	6	180	0.00	29.551	0	0.001	-100000.0
20111015 06:05	53.0	53.0	53.0	83	48.0	1	7	180	0.00	29.551	0	0.000	-100000.0
20111015 06:10	52.9	52.9	52.9	83	47.9	1	5	180	0.00	29.551	0	0.000	-100000.0
20111015 06:15	52.7	52.7	52.7	83	47.7	1	7	202	0.00	29.552	0	0.000	-100000.0
20111015 06:20	52.6	52.6	52.6	84	47.9	1	7	180	0.00	29.552	0	0.000	-100000.0
20111015 06:25	52.5	52.5	52.5	84	47.8	1	8	202	0.00	29.552	0	0.000	-100000.0
20111015 06:30	52.5	52.5	52.5	83	47.5	2	9	180	0.00	29.560	0	0.000	-100000.0
20111015 06:35	52.6	52.6	52.6	83	47.6	2	10	202	0.00	29.560	0	0.000	-100000.0
20111015 06:40	52.7	52.7	52.7	83	47.7	2	10	225	0.00	29.560	0	0.000	-100000.0
20111015 06:45	52.6	52.6	52.6	83	47.6	1	7	202	0.00	29.567	0	0.000	-100000.0
20111015 06:50	52.6	52.6	52.6	82	47.3	2	7	202	0.00	29.567	0	0.000	-100000.0
20111015 06:55	52.6	52.6	52.6	82	47.3	3	11	202	0.00	29.567	0	0.000	-100000.0
