--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20071108 00:00	32.8	32.8	32.8	79	27.0	0	2	248	0.00	30.204	0	0.000	-100000.0
20071108 00:05	32.8	32.8	32.8	79	27.0	0	1	248	0.00	30.204	0	0.000	-100000.0
20071108 00:10	32.7	32.7	32.7	79	26.9	0	1	248	0.00	30.204	0	0.000	-100000.0
20071108 00:15	32.5	32.5	32.5	79	26.7	1	2	202	0.00	30.195	0	0.000	-100000.0
20071108 00:20	32.5	32.5	32.5	80	27.0	1	3	180	0.00	30.195	0	0.000	-100000.0
20071108 00:25	32.4	32.4	32.4	80	26.9	0	2	180	0.00	30.195	0	0.000	-100000.0
20071108 00:30	32.1	32.1	32.1	81	26.9	0	1	180	0.00	30.200	0	0.000	-100000.0
20071108 00:35	32.1	32.1	32.1	81	26.9	0	1	180	0.00	30.200	0	0.000	-100000.0
20071108 00:40	31.9	31.9	31.9	81	26.7	0	1	180	0.00	30.200	0	0.000	-100000.0
20071108 00:45	31.6	31.6	31.6	81	26.5	0	1	180	0.00	30.205	0	0.000	-100000.0
20071108 00:50	31.3	31.3	31.3	82	26.5	0	1	180	0.00	30.205	0	0.000	-100000.0
20071108 00:55	31.3	31.3	31.3	82	26.5	0	1	180	0.00	30.205	0	0.000	-100000.0
20071108 01:00	31.2	31.2	31.2	82	26.4	0	1	180	0.00	30.206	0	0.000	-100000.0
20071108 01:05	30.9	30.9	30.9	82	26.1	0	1	180	0.00	30.206	0	0.000	-100000.0
20071108 01:10	30.7	30.7	30.7	83	26.2	0	0	-100000	0.00	30.206	0	0.000	-100000.0
20071108 01:15	30.4	30.4	30.4	83	25.9	0	0	-100000	0.00	30.211	0	0.000	-100000.0
20071108 01:20	30.4	30.4	30.4	83	25.9	0	0	-100000	0.00	30.211	0	0.000	-100000.0
20071108 01:25	30.3	30.3	30.3	83	25.8	0	0	-100000	0.00	30.211	0	0.000	-100000.0
20071108 01:30	30.3	30.3	30.3	83	25.8	0	0	-100000	0.00	30.215	0	0.000	-100000.0
20071108 01:35	30.3	30.3	30.3	83	25.8	0	0	-100000	0.00	30.215	0	0.000	-100000.0
20071108 01:40	30.3	30.3	30.3	84	26.1	0	0	-100000	0.00	30.215	0	0.000	-100000.0
20071108 01:45	30.3	30.3	30.3	84	26.1	0	0	-100000	0.00	30.218	0	0.000	-100000.0
20071108 01:50	30.3	30.3	30.3	84	26.1	0	0	-100000	0.00	30.218	0	0.000	-100000.0
20071108 01:55	30.3	30.3	30.3	84	26.1	0	0	-100000	0.00	30.218	0	0.000	-100000.0
20071108 02:00	30.3	30.3	30.3	84	26.1	0	1	180	0.00	30.215	0	0.000	-100000.0
20071108 02:05	30.3	30.3	30.3	84	26.1	0	2	180	0.00	30.215	0	0.000	-100000.0
20071108 02:10	30.3	30.3	30.3	85	26.3	0	1	180	0.00	30.215	0	0.000	-100000.0
20071108 02:15	30.1	30.1	30.1	85	26.1	0	0	-100000	0.00	30.211	0	0.000	-100000.0
