--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20081115 00:00	54.4	54.4	54.4	98	53.8	1	5	180	0.00	29.917	0	0.000	-100000.0
20081115 00:05	54.4	54.4	54.4	98	53.8	2	5	180	0.00	29.917	0	0.000	-100000.0
20081115 00:10	54.4	54.4	54.4	98	53.8	3	7	180	0.00	29.917	0	0.000	-100000.0
20081115 00:15	54.3	54.3	54.3	98	53.7	2	4	202	0.00	29.919	0	0.000	-100000.0
20081115 00:20	54.4	54.4	54.4	98	53.8	2	5	158	0.00	29.919	0	0.000	-100000.0
20081115 00:25	54.5	54.5	54.5	98	53.9	2	4	158	0.00	29.919	0	0.000	-100000.0
20081115 00:30	54.7	54.7	54.7	98	54.1	2	6	158	0.00	29.914	0	0.000	-100000.0
20081115 00:35	54.8	54.8	54.8	98	54.2	2	5	202	0.00	29.914	0	0.000	-100000.0
20081115 00:40	54.8	54.8	54.8	98	54.2	1	4	202	0.00	29.914	0	0.000	-100000.0
20081115 00:45	54.6	54.6	54.6	98	54.0	0	1	202	0.00	29.910	0	0.000	-100000.0
20081115 00:50	53.9	53.9	53.9	98	53.3	0	2	202	0.00	29.910	0	0.000	-100000.0
20081115 00:55	53.3	53.3	53.3	97	52.5	0	2	202	0.00	29.910	0	0.000	-100000.0
20081115 01:00	53.1	53.1	53.1	97	52.3	0	1	180	0.00	29.900	0	0.000	-100000.0
20081115 01:05	52.9	52.9	52.9	98	52.3	0	1	180	0.00	29.900	0	0.000	-100000.0
20081115 01:10	52.7	52.7	52.7	98	52.1	0	2	180	0.00	29.900	0	0.000	-100000.0
20081115 01:15	52.6	52.6	52.6	97	51.8	0	1	180	0.00	29.901	0	0.000	-100000.0
20081115 01:20	52.5	52.5	52.5	97	51.7	0	1	180	0.00	29.901	0	0.000	-100000.0
20081115 01:25	52.5	52.5	52.5	97	51.7	0	0	-100000	0.00	29.901	0	0.000	-100000.0
20081115 01:30	52.5	52.5	52.5	98	52.0	0	0	-100000	0.00	29.900	0	0.000	-100000.0
20081115 01:35	52.5	52.5	52.5	98	52.0	0	0	-100000	0.00	29.900	0	0.000	-100000.0
20081115 01:40	52.5	52.5	52.5	98	52.0	0	1	180	0.00	29.900	0	0.000	-100000.0
20081115 01:45	52.4	52.4	52.4	98	51.9	0	2	180	0.00	29.901	0	0.000	-100000.0
20081115 01:50	52.3	52.3	52.3	98	51.8	0	1	180	0.00	29.901	0	0.000	-100000.0
20081115 01:55	52.7	52.7	52.7	98	52.1	0	1	135	0.00	29.901	0	0.000	-100000.0
20081115 02:00	52.4	52.4	52.4	98	51.9	1	2	135	0.00	29.900	0	0.000	-100000.0
20081115 02:05	52.1	52.1	52.1	98	51.6	1	2	112	0.00	29.900	0	0.000	-100000.0
20081115 02:10	52.4	52.4	52.4	98	51.9	0	1	112	0.00	29.900	0	0.000	-100000.0
20081115 02:15	52.4	52.4	52.4	98	51.9	0	1	112	0.00	29.894	0	0.000	-100000.0
20081115 02:20	52.4	52.4	52.4	98	51.9	0	1	112	0.00	29.894	0	0.000	-100000.0
20081115 02:25	52.6	52.6	52.6	98	52.0	0	2	112	0.00	29.894	0	0.000	-100000.0
