--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20060901 00:00	55.3	55.3	55.3	89	52.1	1	3	45	0.00	30.371	0	0.000	-100000.0
20060901 00:05	55.3	55.3	55.3	90	52.4	1	3	45	0.00	30.371	0	0.000	-100000.0
20060901 00:10	55.3	55.3	55.3	90	52.4	0	3	45	0.00	30.371	0	0.000	-100000.0
20060901 00:15	55.3	55.3	55.3	91	52.7	0	1	45	0.00	30.372	0	0.000	-100000.0
20060901 00:20	55.3	55.3	55.3	91	52.7	0	1	45	0.00	30.372	0	0.000	-100000.0
20060901 00:25	55.3	55.3	55.3	91	52.7	0	1	45	0.00	30.372	0	0.000	-100000.0
20060901 00:30	55.6	55.6	55.6	91	53.0	1	2	45	0.00	30.367	0	0.000	-100000.0
20060901 00:35	55.9	55.9	55.9	90	53.0	1	2	45	0.00	30.367	0	0.000	-100000.0
20060901 00:40	56.0	56.0	56.0	88	52.5	1	3	45	0.00	30.367	0	0.000	-100000.0
20060901 00:45	56.0	56.0	56.0	88	52.5	1	3	45	0.00	30.362	0	0.000	-100000.0
20060901 00:50	55.7	55.7	55.7	87	51.9	0	0	-100000	0.00	30.362	0	0.000	-100000.0
20060901 00:55	55.3	55.3	55.3	88	51.8	0	1	45	0.00	30.362	0	0.000	-100000.0
20060901 01:00	55.4	55.4	55.4	89	52.2	0	0	-100000	0.00	30.364	0	0.000	-100000.0
20060901 01:05	55.6	55.6	55.6	88	52.1	0	0	-100000	0.00	30.364	0	0.000	-100000.0
20060901 01:10	55.9	55.9	55.9	88	52.4	0	1	45	0.00	30.364	0	0.000	-100000.0
20060901 01:15	56.0	56.0	56.0	87	52.2	0	1	45	0.00	30.364	0	0.000	-100000.0
20060901 01:20	56.0	56.0	56.0	87	52.2	0	0	-100000	0.00	30.364	0	0.000	-100000.0
20060901 01:25	55.7	55.7	55.7	87	51.9	0	0	-100000	0.00	30.364	0	0.000	-100000.0
20060901 01:30	55.9	55.9	55.9	88	52.4	0	0	-100000	0.00	30.370	0	0.000	-100000.0
20060901 01:35	55.7	55.7	55.7	89	52.5	0	1	45	0.00	30.370	0	0.000	-100000.0
20060901 01:40	55.6	55.6	55.6	90	52.7	0	1	45	0.00	30.370	0	0.000	-100000.0
20060901 01:45	55.3	55.3	55.3	90	52.4	0	2	45	0.00	30.370	0	0.000	-100000.0
20060901 01:50	55.3	55.3	55.3	91	52.7	0	1	45	0.00	30.370	0	0.000	-100000.0
20060901 01:55	55.3	55.3	55.3	91	52.7	0	0	-100000	0.00	30.370	0	0.000	-100000.0
20060901 02:00	55.1	55.1	55.1	91	52.5	0	0	-100000	0.00	30.372	0	0.000	-100000.0
20060901 02:05	55.1	55.1	55.1	91	52.5	0	0	-100000	0.00	30.372	0	0.000	-100000.0
20060901 02:10	55.1	55.1	55.1	91	52.5	0	0	-100000	0.00	30.372	0	0.000	-100000.0
20060901 02:15	55.0	55.0	55.0	91	52.4	0	0	-100000	0.00	30.373	0	0.000	-100000.0
20060901 02:20	55.0	55.0	55.0	91	52.4	0	0	-100000	0.00	30.373	0	0.000	-100000.0
20060901 02:25	54.8	54.8	54.8	92	52.5	0	1	45	0.00	30.373	0	0.000	-100000.0
20060901 02:30	54.8	54.8	54.8	92	52.5	0	2	45	0.00	30.367	0	0.000	-100000.0
20060901 02:35	55.0	55.0	55.0	92	52.7	1	3	45	0.00	30.367	0	0.000	-100000.0
20060901 02:40	54.8	54.8	54.8	92	52.5	1	3	45	0.00	30.367	0	0.000	-100000.0
20060901 02:45	54.5	54.5	54.5	92	52.2	0	1	45	0.00	30.368	0	0.000	-100000.0
20060901 02:50	54.5	54.5	54.5	92	52.2	0	1	45	0.00	30.368	0	0.000	-100000.0
20060901 02:55	54.5	54.5	54.5	92	52.2	0	1	45	0.00	30.368	0	0.000	-100000.0
20060901 03:00	54.4	54.4	54.4	92	52.1	0	1	45	0.00	30.373	0	0.000	-100000.0
20060901 03:05	54.5	54.5	54.5	92	52.2	0	1	45	0.00	30.373	0	0.000	-100000.0
20060901 03:10	54.4	54.4	54.4	92	52.1	0	1	45	0.00	30.373	0	0.000	-100000.0
20060901 03:15	54.4	54.4	54.4	92	52.1	0	1	45	0.00	30.376	0	0.000	-100000.0
20060901 03:20	54.5	54.5	54.5	92	52.2	0	1	45	0.00	30.376	0	0.000	-100000.0
20060901 03:25	54.5	54.5	54.5	92	52.2	1	2	45	0.00	30.376	0	0.000	-100000.0
20060901 03:30	54.5	54.5	54.5	92	52.2	1	3	45	0.00	30.375	0	0.000	-100000.0
20060901 03:35	54.5	54.5	54.5	92	52.2	1	3	45	0.00	30.375	0	0.000	-100000.0
20060901 03:40	54.2	54.2	54.2	92	51.9	1	3	45	0.00	30.375	0	0.000	-100000.0
20060901 03:45	54.4	54.4	54.4	92	52.1	1	3	45	0.00	30.376	0	0.000	-100000.0
20060901 03:50	54.5	54.5	54.5	92	52.2	1	3	45	0.00	30.376	0	0.000	-100000.0
20060901 03:55	54.5	54.5	54.5	91	51.9	1	4	45	0.00	30.376	0	0.000	-100000.0
20060901 04:00	54.5	54.5	54.5	92	52.2	1	3	45	0.00	30.376	0	0.000	-100000.0
20060901 04:05	54.7	54.7	54.7	91	52.1	1	2	45	0.00	30.376	0	0.000	-100000.0
20060901 04:10	54.4	54.4	54.4	91	51.8	0	2	45	0.00	30.376	0	0.000	-100000.0
20060901 04:15	54.1	54.1	54.1	91	51.5	0	3	45	0.00	30.377	0	0.000	-100000.0
20060901 04:20	54.1	54.1	54.1	92	51.8	0	2	45	0.00	30.377	0	0.000	-100000.0
20060901 04:25	53.8	53.8	53.8	92	51.5	0	2	45	0.00	30.377	0	0.000	-100000.0
20060901 04:30	53.9	53.9	53.9	92	51.6	1	2	45	0.00	30.380	0	0.000	-100000.0
20060901 04:35	54.1	54.1	54.1	92	51.8	2	4	45	0.00	30.380	0	0.000	-100000.0
20060901 04:40	54.2	54.2	54.2	92	51.9	2	4	45	0.00	30.380	0	0.000	-100000.0
20060901 04:45	54.2	54.2	54.2	92	51.9	2	3	45	0.00	30.379	0	0.000	-100000.0
20060901 04:50	54.1	54.1	54.1	91	51.5	0	1	45	0.00	30.379	0	0.000	-100000.0
20060901 04:55	54.1	54.1	54.1	92	51.8	0	0	-100000	0.00	30.379	0	0.000	-100000.0
20060901 05:00	53.6	53.6	53.6	92	51.3	0	1	45	0.00	30.386	0	0.000	-100000.0
20060901 05:05	53.3	53.3	53.3	92	51.0	0	1	45	0.00	30.386	0	0.000	-100000.0
