--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20060821 00:00	66.4	66.4	66.4	93	64.3	1	2	158	0.00	29.909	0	0.000	-100000.0
20060821 00:05	66.3	66.3	66.3	94	64.5	1	2	158	0.00	29.909	0	0.000	-100000.0
20060821 00:10	66.1	66.1	66.1	94	64.3	1	3	158	0.00	29.909	0	0.000	-100000.0
20060821 00:15	66.0	66.0	66.0	94	64.2	0	1	158	0.00	29.911	0	0.000	-100000.0
20060821 00:20	66.0	66.0	66.0	94	64.2	1	2	158	0.00	29.911	0	0.000	-100000.0
20060821 00:25	66.1	66.1	66.1	95	64.6	0	1	158	0.00	29.911	0	0.000	-100000.0
20060821 00:30	66.0	66.0	66.0	95	64.5	0	1	158	0.00	29.911	0	0.000	-100000.0
20060821 00:35	65.5	65.5	65.5	94	63.7	2	3	158	0.00	29.911	0	0.000	-100000.0
20060821 00:40	65.3	65.3	65.3	94	63.5	1	3	158	0.00	29.911	0	0.000	-100000.0
20060821 00:45	65.2	65.2	65.2	95	63.7	1	3	158	0.00	29.912	0	0.000	-100000.0
20060821 00:50	65.2	65.2	65.2	95	63.7	1	6	158	0.00	29.912	0	0.000	-100000.0
20060821 00:55	65.0	65.0	65.0	95	63.5	1	3	292	0.00	29.912	0	0.000	-100000.0
20060821 01:00	64.8	64.8	64.8	95	63.3	1	4	22	0.00	29.917	0	0.000	-100000.0
20060821 01:05	64.7	64.7	64.7	95	63.2	1	3	45	0.00	29.917	0	0.000	-100000.0
20060821 01:10	64.7	64.7	64.7	95	63.2	2	4	45	0.00	29.917	0	0.000	-100000.0
20060821 01:15	65.3	65.3	65.3	95	63.8	1	3	22	0.00	29.917	0	0.000	-100000.0
20060821 01:20	65.3	65.3	65.3	93	63.2	0	2	22	0.00	29.917	0	0.000	-100000.0
20060821 01:25	65.5	65.5	65.5	92	63.1	1	4	22	0.00	29.917	0	0.000	-100000.0
20060821 01:30	65.8	65.8	65.8	90	62.8	3	4	270	0.00	29.916	0	0.000	-100000.0
