--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20080221 00:00	18.1	18.1	18.1	60	6.6	0	1	0	0.00	30.263	0	0.000	-100000.0
20080221 00:05	17.8	17.8	17.8	60	6.3	0	1	45	0.00	30.263	0	0.000	-100000.0
20080221 00:10	17.9	17.9	17.9	61	6.8	0	1	0	0.00	30.263	0	0.000	-100000.0
20080221 00:15	18.4	18.4	18.4	59	6.5	0	1	270	0.00	30.261	0	0.000	-100000.0
20080221 00:20	18.6	18.6	18.6	60	7.1	0	2	270	0.00	30.261	0	0.000	-100000.0
20080221 00:25	18.8	18.8	18.8	58	6.5	0	2	248	0.00	30.261	0	0.000	-100000.0
20080221 00:30	18.8	18.8	18.8	58	6.5	0	1	225	0.00	30.254	0	0.000	-100000.0
20080221 00:35	18.8	18.8	18.8	59	6.9	1	4	202	0.00	30.254	0	0.000	-100000.0
20080221 00:40	18.8	18.8	18.8	59	6.9	0	1	225	0.00	30.254	0	0.000	-100000.0
20080221 00:45	18.8	18.8	18.8	59	6.9	0	1	225	0.00	30.251	0	0.000	-100000.0
20080221 00:50	18.5	18.5	18.5	62	7.7	0	1	112	0.00	30.251	0	0.000	-100000.0
20080221 00:55	17.8	17.8	17.8	62	7.0	0	0	-100000	0.00	30.251	0	0.000	-100000.0
20080221 01:00	17.9	17.9	17.9	61	6.8	0	1	135	0.00	30.254	0	0.001	-100000.0
20080221 01:05	18.1	18.1	18.1	60	6.6	0	0	-100000	0.00	30.254	0	0.000	-100000.0
20080221 01:10	18.2	18.2	18.2	60	6.7	0	0	-100000	0.00	30.254	0	0.000	-100000.0
20080221 01:15	18.3	18.3	18.3	60	6.8	0	1	112	0.00	30.263	0	0.000	-100000.0
20080221 01:20	18.6	18.6	18.6	59	6.7	0	0	-100000	0.00	30.263	0	0.000	-100000.0
