--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20070519 00:00	44.3	44.3	44.3	91	41.8	1	2	22	0.00	30.133	0	0.000	-100000.0
20070519 00:05	44.2	44.2	44.2	91	41.7	2	3	22	0.00	30.133	0	0.000	-100000.0
20070519 00:10	44.2	44.2	44.2	91	41.7	2	3	22	0.00	30.133	0	0.000	-100000.0
20070519 00:15	44.1	44.1	44.1	92	41.9	2	4	22	0.00	30.118	0	0.000	-100000.0
20070519 00:20	44.1	44.1	44.1	92	41.9	2	3	22	0.00	30.118	0	0.000	-100000.0
20070519 00:25	44.1	44.1	44.1	92	41.9	2	4	22	0.00	30.118	0	0.000	-100000.0
20070519 00:30	43.9	43.9	43.9	92	41.7	2	4	338	0.00	30.108	0	0.000	-100000.0
20070519 00:35	43.8	43.8	43.8	93	41.9	2	4	338	0.00	30.108	0	0.000	-100000.0
20070519 00:40	43.8	43.8	43.8	93	41.9	3	5	292	0.00	30.108	0	0.000	-100000.0
20070519 00:45	43.8	43.8	43.8	93	41.9	1	4	315	0.00	30.091	0	0.000	-100000.0
20070519 00:50	43.6	43.6	43.6	93	41.7	2	6	315	0.00	30.091	0	0.000	-100000.0
20070519 00:55	43.8	43.8	43.8	93	41.9	1	2	315	0.00	30.091	0	0.000	-100000.0
20070519 01:00	43.8	43.8	43.8	93	41.9	1	3	315	0.00	30.090	0	0.000	-100000.0
20070519 01:05	43.6	43.6	43.6	93	41.7	1	3	315	0.00	30.090	0	0.000	-100000.0
20070519 01:10	43.6	43.6	43.6	93	41.7	1	2	315	0.00	30.090	0	0.000	-100000.0
20070519 01:15	43.8	43.8	43.8	93	41.9	0	2	315	0.00	30.092	0	0.000	-100000.0
20070519 01:20	43.6	43.6	43.6	93	41.7	0	1	315	0.00	30.092	0	0.000	-100000.0
20070519 01:25	43.8	43.8	43.8	93	41.9	0	2	315	0.00	30.092	0	0.000	-100000.0
20070519 01:30	43.9	43.9	43.9	93	42.0	0	1	315	0.00	30.088	0	0.000	-100000.0
20070519 01:35	44.1	44.1	44.1	94	42.5	0	2	315	0.01	30.088	0	0.000	-100000.0
20070519 01:40	44.1	44.1	44.1	93	42.2	0	1	315	0.00	30.088	0	0.000	-100000.0
20070519 01:45	44.1	44.1	44.1	93	42.2	0	1	315	0.01	30.081	0	0.000	-100000.0
20070519 01:50	44.1	44.1	44.1	94	42.5	1	2	315	0.00	30.081	0	0.000	-100000.0
20070519 01:55	43.9	43.9	43.9	93	42.0	2	3	315	0.00	30.081	0	0.000	-100000.0
20070519 02:00	43.9	43.9	43.9	94	42.3	2	4	315	0.00	30.075	0	0.000	-100000.0
20070519 02:05	43.9	43.9	43.9	94	42.3	2	5	315	0.00	30.075	0	0.000	-100000.0
20070519 02:10	43.9	43.9	43.9	94	42.3	2	5	315	0.00	30.075	0	0.000	-100000.0
20070519 02:15	43.9	43.9	43.9	94	42.3	2	4	315	0.01	30.062	0	0.000	-100000.0
20070519 02:20	43.8	43.8	43.8	94	42.2	3	4	315	0.00	30.062	0	0.000	-100000.0
20070519 02:25	43.8	43.8	43.8	94	42.2	2	4	315	0.00	30.062	0	0.000	-100000.0
20070519 02:30	43.8	43.8	43.8	94	42.2	1	3	315	0.00	30.058	0	0.000	-100000.0
20070519 02:35	43.9	43.9	43.9	94	42.3	1	4	315	0.00	30.058	0	0.000	-100000.0
20070519 02:40	43.8	43.8	43.8	94	42.2	2	4	315	0.00	30.058	0	0.000	-100000.0
20070519 02:45	43.6	43.6	43.6	94	42.0	2	6	315	0.00	30.045	0	0.000	-100000.0
20070519 02:50	43.6	43.6	43.6	94	42.0	2	4	315	0.00	30.045	0	0.000	-100000.0
20070519 02:55	43.8	43.8	43.8	94	42.2	2	3	315	0.01	30.045	0	0.000	-100000.0
20070519 03:00	43.6	43.6	43.6	94	42.0	2	4	315	0.00	30.044	0	0.000	-100000.0
20070519 03:05	43.6	43.6	43.6	94	42.0	2	3	315	0.00	30.044	0	0.000	-100000.0
20070519 03:10	43.8	43.8	43.8	94	42.2	2	4	315	0.00	30.044	0	0.000	-100000.0
20070519 03:15	43.8	43.8	43.8	94	42.2	2	6	315	0.00	30.029	0	0.000	-100000.0
