--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20120508 00:00	58.5	58.5	58.5	65	46.8	5	15	158	0.00	30.126	0	0.002	-100000.0
20120508 00:05	58.3	58.3	58.3	66	47.0	5	11	180	0.00	30.126	0	0.000	-100000.0
20120508 00:10	58.0	58.0	58.0	68	47.5	3	12	202	0.00	30.126	0	0.000	-100000.0
20120508 00:15	57.7	57.7	57.7	69	47.6	3	12	180	0.00	30.126	0	0.000	-100000.0
20120508 00:20	57.5	57.5	57.5	70	47.8	3	11	180	0.00	30.126	0	0.000	-100000.0
20120508 00:25	57.3	57.3	57.3	70	47.6	4	12	202	0.00	30.126	0	0.000	-100000.0
20120508 00:30	57.0	57.0	57.0	71	47.7	4	13	180	0.00	30.126	0	0.000	-100000.0
20120508 00:35	56.7	56.7	56.7	72	47.8	5	16	180	0.00	30.126	0	0.000	-100000.0
20120508 00:40	56.4	56.4	56.4	73	47.9	4	10	202	0.00	30.126	0	0.000	-100000.0
20120508 00:45	56.0	56.0	56.0	74	47.8	4	12	202	0.00	30.126	0	0.000	-100000.0
20120508 00:50	55.7	55.7	55.7	76	48.3	3	12	180	0.00	30.126	0	0.000	-100000.0
20120508 00:55	55.5	55.5	55.5	76	48.1	6	14	180	0.00	30.126	0	0.000	-100000.0
20120508 01:00	55.2	55.2	55.2	77	48.1	3	10	180	0.00	30.129	0	0.001	-100000.0
20120508 01:05	55.0	55.0	55.0	78	48.3	4	9	180	0.00	30.129	0	0.000	-100000.0
20120508 01:10	54.8	54.8	54.8	79	48.4	4	13	180	0.00	30.129	0	0.000	-100000.0
20120508 01:15	54.6	54.6	54.6	79	48.2	4	11	180	0.00	30.130	0	0.000	-100000.0
20120508 01:20	54.5	54.5	54.5	80	48.5	1	5	180	0.00	30.130	0	0.000	-100000.0
20120508 01:25	54.3	54.3	54.3	80	48.3	3	11	180	0.00	30.130	0	0.000	-100000.0
20120508 01:30	54.0	54.0	54.0	81	48.3	4	11	202	0.01	30.131	0	0.000	-100000.0
20120508 01:35	53.8	53.8	53.8	82	48.4	2	7	202	0.00	30.131	0	0.000	-100000.0
