--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20070625 00:00	69.1	69.1	69.1	64	56.4	0	2	180	0.00	30.163	0	0.001	-100000.0
20070625 00:05	69.1	69.1	69.1	64	56.4	0	2	180	0.00	30.163	0	0.000	-100000.0
20070625 00:10	68.9	68.9	68.9	64	56.2	0	2	180	0.00	30.163	0	0.000	-100000.0
20070625 00:15	68.6	68.6	68.6	66	56.8	0	2	180	0.00	30.167	0	0.000	-100000.0
20070625 00:20	68.4	68.4	68.4	66	56.6	0	1	180	0.00	30.167	0	0.000	-100000.0
20070625 00:25	68.1	68.1	68.1	68	57.1	0	1	180	0.00	30.167	0	0.000	-100000.0
20070625 00:30	67.9	67.9	67.9	67	56.5	0	1	180	0.00	30.168	0	0.000	-100000.0
20070625 00:35	67.9	67.9	67.9	68	56.9	0	2	180	0.00	30.168	0	0.000	-100000.0
20070625 00:40	67.4	67.4	67.4	69	56.9	0	1	180	0.00	30.168	0	0.000	-100000.0
20070625 00:45	67.3	67.3	67.3	69	56.8	0	1	180	0.00	30.169	0	0.000	-100000.0
20070625 00:50	66.9	66.9	66.9	72	57.6	0	1	180	0.00	30.169	0	0.000	-100000.0
20070625 00:55	66.6	66.6	66.6	70	56.5	0	1	180	0.00	30.169	0	0.000	-100000.0
20070625 01:00	66.6	66.6	66.6	71	56.9	0	0	-100000	0.00	30.173	0	0.001	-100000.0
20070625 01:05	66.3	66.3	66.3	73	57.4	0	1	180	0.00	30.173	0	0.000	-100000.0
20070625 01:10	65.5	65.5	65.5	75	57.4	0	1	180	0.00	30.173	0	0.000	-100000.0
20070625 01:15	65.0	65.0	65.0	77	57.6	0	0	-100000	0.00	30.177	0	0.000	-100000.0
20070625 01:20	64.8	64.8	64.8	77	57.4	0	1	180	0.00	30.177	0	0.000	-100000.0
20070625 01:25	64.7	64.7	64.7	77	57.3	0	0	-100000	0.00	30.177	0	0.000	-100000.0
20070625 01:30	64.7	64.7	64.7	76	57.0	0	0	-100000	0.00	30.175	0	0.000	-100000.0
20070625 01:35	64.7	64.7	64.7	77	57.3	0	0	-100000	0.00	30.175	0	0.000	-100000.0
20070625 01:40	64.5	64.5	64.5	78	57.5	0	1	180	0.00	30.175	0	0.000	-100000.0
20070625 01:45	64.5	64.5	64.5	78	57.5	0	0	-100000	0.00	30.179	0	0.000	-100000.0
20070625 01:50	64.5	64.5	64.5	77	57.1	0	0	-100000	0.00	30.179	0	0.000	-100000.0
20070625 01:55	64.5	64.5	64.5	78	57.5	0	0	-100000	0.00	30.179	0	0.000	-100000.0
20070625 02:00	64.0	64.0	64.0	79	57.4	0	1	180	0.00	30.180	0	0.001	-100000.0
20070625 02:05	63.9	63.9	63.9	79	57.3	0	0	-100000	0.00	30.180	0	0.000	-100000.0
20070625 02:10	63.7	63.7	63.7	79	57.1	0	0	-100000	0.00	30.180	0	0.000	-100000.0
20070625 02:15	63.2	63.2	63.2	80	56.9	0	1	180	0.00	30.182	0	0.000	-100000.0
20070625 02:20	63.1	63.1	63.1	80	56.8	0	2	180	0.00	30.182	0	0.000	-100000.0
20070625 02:25	63.7	63.7	63.7	78	56.7	1	4	112	0.00	30.182	0	0.000	-100000.0
20070625 02:30	64.3	64.3	64.3	76	56.6	0	2	112	0.00	30.179	0	0.000	-100000.0
20070625 02:35	64.8	64.8	64.8	74	56.3	3	6	112	0.00	30.179	0	0.000	-100000.0
20070625 02:40	65.5	65.5	65.5	72	56.2	2	4	135	0.00	30.179	0	0.000	-100000.0
20070625 02:45	65.8	65.8	65.8	71	56.1	3	5	135	0.00	30.180	0	0.000	-100000.0
20070625 02:50	66.0	66.0	66.0	71	56.3	2	4	135	0.00	30.180	0	0.000	-100000.0
20070625 02:55	65.5	65.5	65.5	72	56.2	1	3	158	0.00	30.180	0	0.000	-100000.0
20070625 03:00	65.2	65.2	65.2	73	56.3	0	2	158	0.00	30.183	0	0.001	-100000.0
20070625 03:05	64.8	64.8	64.8	74	56.3	0	3	112	0.00	30.183	0	0.000	-100000.0
20070625 03:10	64.5	64.5	64.5	75	56.4	0	1	112	0.00	30.183	0	0.000	-100000.0
20070625 03:15	64.3	64.3	64.3	75	56.2	1	5	112	0.00	30.185	0	0.000	-100000.0
20070625 03:20	64.5	64.5	64.5	74	56.0	2	5	135	0.00	30.185	0	0.000	-100000.0
20070625 03:25	64.3	64.3	64.3	75	56.2	0	1	135	0.00	30.185	0	0.000	-100000.0
20070625 03:30	63.7	63.7	63.7	77	56.3	1	5	135	0.00	30.191	0	0.000	-100000.0
20070625 03:35	63.9	63.9	63.9	76	56.2	1	4	135	0.00	30.191	0	0.000	-100000.0
20070625 03:40	63.7	63.7	63.7	76	56.0	0	2	135	0.00	30.191	0	0.000	-100000.0
