--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20071009 00:00	66.8	66.8	66.8	96	65.6	0	1	112	0.00	29.780	0	0.000	-100000.0
20071009 00:05	66.8	66.8	66.8	96	65.6	0	1	112	0.00	29.780	0	0.000	-100000.0
20071009 00:10	66.4	66.4	66.4	96	65.2	0	2	112	0.00	29.780	0	0.000	-100000.0
20071009 00:15	66.3	66.3	66.3	96	65.1	0	2	112	0.00	29.796	0	0.000	-100000.0
20071009 00:20	66.1	66.1	66.1	96	64.9	1	3	112	0.00	29.796	0	0.000	-100000.0
20071009 00:25	66.0	66.0	66.0	96	64.8	1	2	112	0.00	29.796	0	0.000	-100000.0
20071009 00:30	66.0	66.0	66.0	96	64.8	0	1	112	0.00	29.795	0	0.000	-100000.0
20071009 00:35	66.0	66.0	66.0	96	64.8	2	4	248	0.00	29.795	0	0.000	-100000.0
20071009 00:40	65.6	65.6	65.6	96	64.4	1	3	248	0.00	29.795	0	0.000	-100000.0
20071009 00:45	65.5	65.5	65.5	96	64.3	1	2	248	0.00	29.791	0	0.000	-100000.0
20071009 00:50	65.2	65.2	65.2	96	64.0	1	3	315	0.00	29.791	0	0.000	-100000.0
20071009 00:55	64.7	64.7	64.7	96	63.5	1	3	315	0.00	29.791	0	0.000	-100000.0
20071009 01:00	64.7	64.7	64.7	96	63.5	1	2	315	0.00	29.792	0	0.000	-100000.0
20071009 01:05	64.2	64.2	64.2	96	63.0	2	4	315	0.00	29.792	0	0.000	-100000.0
20071009 01:10	63.7	63.7	63.7	96	62.5	2	4	315	0.00	29.792	0	0.000	-100000.0
20071009 01:15	63.4	63.4	63.4	96	62.2	2	4	22	0.00	29.805	0	0.000	-100000.0
20071009 01:20	63.2	63.2	63.2	96	62.0	1	2	338	0.00	29.805	0	0.000	-100000.0
20071009 01:25	63.4	63.4	63.4	96	62.2	0	2	338	0.00	29.805	0	0.000	-100000.0
20071009 01:30	63.4	63.4	63.4	96	62.2	0	2	338	0.00	29.807	0	0.000	-100000.0
20071009 01:35	63.4	63.4	63.4	96	62.2	1	3	338	0.00	29.807	0	0.000	-100000.0
20071009 01:40	63.5	63.5	63.5	96	62.3	0	1	338	0.00	29.807	0	0.000	-100000.0
20071009 01:45	63.5	63.5	63.5	96	62.3	1	4	338	0.00	29.813	0	0.000	-100000.0
20071009 01:50	63.4	63.4	63.4	96	62.2	3	6	315	0.01	29.813	0	0.000	-100000.0
20071009 01:55	63.2	63.2	63.2	96	62.0	3	5	22	0.01	29.813	0	0.000	-100000.0
20071009 02:00	63.4	63.4	63.4	96	62.2	2	5	22	0.01	29.815	0	0.000	-100000.0
20071009 02:05	63.4	63.4	63.4	96	62.2	4	7	315	0.00	29.815	0	0.000	-100000.0
20071009 02:10	63.4	63.4	63.4	96	62.2	2	6	45	0.00	29.815	0	0.000	-100000.0
20071009 02:15	63.2	63.2	63.2	96	62.0	3	6	0	0.00	29.828	0	0.000	-100000.0
20071009 02:20	63.2	63.2	63.2	96	62.0	3	7	0	0.00	29.828	0	0.000	-100000.0
20071009 02:25	62.9	62.9	62.9	96	61.7	3	7	0	0.00	29.828	0	0.000	-100000.0
20071009 02:30	62.6	62.6	62.6	96	61.4	3	10	0	0.00	29.829	0	0.000	-100000.0
20071009 02:35	62.3	62.3	62.3	96	61.1	5	15	22	0.00	29.829	0	0.000	-100000.0
20071009 02:40	62.1	62.1	62.1	95	60.6	5	13	22	0.00	29.829	0	0.000	-100000.0
20071009 02:45	61.8	61.8	61.8	95	60.3	5	10	338	0.00	29.830	0	0.000	-100000.0
20071009 02:50	61.5	61.5	61.5	94	59.8	4	10	338	0.00	29.830	0	0.000	-100000.0
20071009 02:55	61.3	61.3	61.3	94	59.6	6	13	338	0.00	29.830	0	0.000	-100000.0
20071009 03:00	61.3	61.3	61.3	93	59.3	4	10	0	0.00	29.831	0	0.000	-100000.0
20071009 03:05	61.2	61.2	61.2	92	58.9	5	15	315	0.00	29.831	0	0.000	-100000.0
20071009 03:10	61.2	61.2	61.2	92	58.9	6	12	0	0.00	29.831	0	0.000	-100000.0
20071009 03:15	61.2	61.2	61.2	92	58.9	5	10	22	0.00	29.833	0	0.000	-100000.0
20071009 03:20	61.2	61.2	61.2	91	58.5	4	10	22	0.00	29.833	0	0.000	-100000.0
20071009 03:25	61.2	61.2	61.2	91	58.5	5	11	22	0.00	29.833	0	0.000	-100000.0
20071009 03:30	61.2	61.2	61.2	90	58.2	4	8	0	0.00	29.829	0	0.000	-100000.0
20071009 03:35	61.2	61.2	61.2	90	58.2	2	6	0	0.00	29.829	0	0.000	-100000.0
20071009 03:40	61.2	61.2	61.2	89	57.9	4	10	0	0.00	29.829	0	0.000	-100000.0
20071009 03:45	61.2	61.2	61.2	89	57.9	4	9	338	0.00	29.842	0	0.000	-100000.0
20071009 03:50	61.0	61.0	61.0	88	57.4	5	12	338	0.00	29.842	0	0.000	-100000.0
20071009 03:55	61.0	61.0	61.0	88	57.4	3	6	22	0.00	29.842	0	0.000	-100000.0
20071009 04:00	60.7	60.7	60.7	88	57.1	2	5	338	0.00	29.844	0	0.001	-100000.0
20071009 04:05	60.5	60.5	60.5	88	56.9	0	2	225	0.00	29.844	0	0.000	-100000.0
20071009 04:10	60.5	60.5	60.5	88	56.9	1	3	225	0.00	29.844	0	0.000	-100000.0
20071009 04:15	60.4	60.4	60.4	88	56.8	2	4	0	0.00	29.851	0	0.000	-100000.0
20071009 04:20	60.2	60.2	60.2	88	56.6	1	4	315	0.00	29.851	0	0.000	-100000.0
20071009 04:25	60.1	60.1	60.1	89	56.8	1	5	315	0.00	29.851	0	0.000	-100000.0
20071009 04:30	60.1	60.1	60.1	89	56.8	3	6	0	0.00	29.860	0	0.000	-100000.0
20071009 04:35	59.9	59.9	59.9	88	56.3	1	4	0	0.00	29.860	0	0.000	-100000.0
20071009 04:40	59.9	59.9	59.9	88	56.3	3	7	338	0.00	29.860	0	0.000	-100000.0
20071009 04:45	59.9	59.9	59.9	88	56.3	2	6	315	0.00	29.875	0	0.000	-100000.0
20071009 04:50	59.8	59.8	59.8	88	56.2	3	12	338	0.00	29.875	0	0.000	-100000.0
20071009 04:55	59.8	59.8	59.8	87	55.9	4	11	315	0.00	29.875	0	0.000	-100000.0
20071009 05:00	59.8	59.8	59.8	87	55.9	4	9	0	0.00	29.889	0	0.001	-100000.0
20071009 05:05	59.6	59.6	59.6	86	55.4	3	4	315	0.00	29.889	0	0.000	-100000.0
20071009 05:10	59.3	59.3	59.3	84	54.5	4	10	315	0.00	29.889	0	0.000	-100000.0
20071009 05:15	59.2	59.2	59.2	83	54.0	5	11	0	0.00	29.900	0	0.000	-100000.0
20071009 05:20	59.0	59.0	59.0	83	53.8	4	9	0	0.00	29.900	0	0.000	-100000.0
20071009 05:25	58.9	58.9	58.9	83	53.7	3	7	338	0.00	29.900	0	0.000	-100000.0
20071009 05:30	58.7	58.7	58.7	83	53.5	3	7	338	0.00	29.909	0	0.000	-100000.0
20071009 05:35	58.4	58.4	58.4	82	52.9	5	12	0	0.00	29.909	0	0.000	-100000.0
20071009 05:40	58.3	58.3	58.3	81	52.5	5	10	338	0.00	29.909	0	0.000	-100000.0
20071009 05:45	58.0	58.0	58.0	80	51.9	5	10	338	0.00	29.913	0	0.000	-100000.0
20071009 05:50	58.0	58.0	58.0	81	52.2	4	8	315	0.00	29.913	0	0.000	-100000.0
20071009 05:55	58.0	58.0	58.0	81	52.2	1	5	0	0.00	29.913	0	0.000	-100000.0
20071009 06:00	57.8	57.8	57.8	82	52.3	1	5	0	0.00	29.922	0	0.001	-100000.0
20071009 06:05	57.5	57.5	57.5	82	52.0	2	5	22	0.00	29.922	0	0.000	-100000.0
20071009 06:10	57.3	57.3	57.3	82	51.9	2	5	338	0.00	29.922	0	0.000	-100000.0
20071009 06:15	57.2	57.2	57.2	82	51.8	2	6	338	0.00	29.923	0	0.000	-100000.0
20071009 06:20	56.9	56.9	56.9	82	51.5	2	9	0	0.00	29.923	0	0.000	-100000.0
20071009 06:25	56.7	56.7	56.7	81	50.9	2	4	0	0.00	29.923	0	0.000	-100000.0
20071009 06:30	56.6	56.6	56.6	81	50.8	1	3	0	0.00	29.924	0	0.000	-100000.0
20071009 06:35	56.5	56.5	56.5	82	51.1	1	4	0	0.00	29.924	0	0.000	-100000.0
20071009 06:40	56.3	56.3	56.3	82	50.9	2	4	338	0.00	29.924	0	0.000	-100000.0
20071009 06:45	56.0	56.0	56.0	82	50.6	1	3	0	0.00	29.935	0	0.000	-100000.0
20071009 06:50	55.9	55.9	55.9	82	50.5	1	5	0	0.00	29.935	0	0.000	-100000.0
20071009 06:55	55.7	55.7	55.7	82	50.3	1	4	0	0.00	29.935	0	0.000	-100000.0
20071009 07:00	55.6	55.6	55.6	82	50.2	1	3	22	0.00	29.936	3	0.000	-100000.0
20071009 07:05	55.4	55.4	55.4	82	50.0	1	3	45	0.00	29.936	7	0.000	-100000.0
20071009 07:10	55.3	55.3	55.3	83	50.2	0	3	45	0.00	29.936	9	0.000	-100000.0
20071009 07:15	55.1	55.1	55.1	82	49.7	2	5	22	0.00	29.944	13	0.000	-100000.0
20071009 07:20	55.1	55.1	55.1	82	49.7	1	3	22	0.00	29.944	13	0.000	-100000.0
20071009 07:25	55.1	55.1	55.1	82	49.7	1	4	22	0.00	29.944	15	0.000	-100000.0
20071009 07:30	55.0	55.0	55.0	83	49.9	1	4	22	0.00	29.955	19	0.000	-100000.0
20071009 07:35	54.8	54.8	54.8	83	49.7	0	4	0	0.00	29.955	34	0.000	-100000.0
20071009 07:40	54.8	54.8	54.8	82	49.4	1	4	338	0.00	29.955	84	0.000	-100000.0
20071009 07:45	55.0	55.0	55.0	82	49.6	0	2	338	0.00	29.956	113	0.000	-100000.0
