--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20110628 00:00	72.9	72.9	72.9	73	63.7	0	2	202	0.00	30.024	0	0.001	-100000.0
20110628 00:05	72.6	72.6	72.6	74	63.8	0	2	202	0.00	30.024	0	0.000	-100000.0
20110628 00:10	72.4	72.4	72.4	74	63.6	1	4	202	0.00	30.024	0	0.000	-100000.0
20110628 00:15	72.1	72.1	72.1	75	63.7	2	4	202	0.00	30.022	0	0.000	-100000.0
20110628 00:20	71.9	71.9	71.9	75	63.5	1	3	202	0.00	30.022	0	0.000	-100000.0
20110628 00:25	71.7	71.7	71.7	76	63.7	1	5	202	0.00	30.022	0	0.000	-100000.0
20110628 00:30	71.5	71.5	71.5	76	63.5	1	5	202	0.00	30.024	0	0.000	-100000.0
20110628 00:35	71.3	71.3	71.3	77	63.7	2	4	202	0.00	30.024	0	0.000	-100000.0
20110628 00:40	71.3	71.3	71.3	77	63.7	2	4	180	0.00	30.024	0	0.000	-100000.0
20110628 00:45	71.3	71.3	71.3	77	63.7	1	3	180	0.00	30.024	0	0.000	-100000.0
20110628 00:50	71.3	71.3	71.3	77	63.7	1	3	180	0.00	30.024	0	0.000	-100000.0
20110628 00:55	71.3	71.3	71.3	77	63.7	1	3	180	0.00	30.024	0	0.000	-100000.0
20110628 01:00	71.2	71.2	71.2	77	63.6	0	1	180	0.00	30.021	0	0.001	-100000.0
20110628 01:05	70.9	70.9	70.9	78	63.7	0	3	180	0.00	30.021	0	0.000	-100000.0
20110628 01:10	70.9	70.9	70.9	78	63.7	1	4	180	0.00	30.021	0	0.000	-100000.0
20110628 01:15	70.9	70.9	70.9	78	63.7	1	4	180	0.00	30.017	0	0.000	-100000.0
20110628 01:20	70.8	70.8	70.8	78	63.6	1	5	180	0.00	30.017	0	0.000	-100000.0
20110628 01:25	70.7	70.7	70.7	78	63.5	1	3	180	0.00	30.017	0	0.000	-100000.0
20110628 01:30	70.5	70.5	70.5	79	63.7	2	4	180	0.00	30.019	0	0.000	-100000.0
20110628 01:35	70.3	70.3	70.3	79	63.5	1	4	180	0.00	30.019	0	0.000	-100000.0
20110628 01:40	70.1	70.1	70.1	80	63.6	0	3	180	0.00	30.019	0	0.000	-100000.0
20110628 01:45	69.9	69.9	69.9	80	63.4	1	4	180	0.00	30.011	0	0.000	-100000.0
20110628 01:50	69.9	69.9	69.9	81	63.8	1	4	180	0.00	30.011	0	0.000	-100000.0
20110628 01:55	69.9	69.9	69.9	81	63.8	1	5	180	0.00	30.011	0	0.000	-100000.0
20110628 02:00	69.9	69.9	69.9	81	63.8	1	3	180	0.00	30.015	0	0.001	-100000.0
20110628 02:05	69.8	69.8	69.8	81	63.7	0	3	180	0.00	30.015	0	0.000	-100000.0
20110628 02:10	69.4	69.4	69.4	82	63.7	0	2	180	0.00	30.015	0	0.000	-100000.0
20110628 02:15	69.0	69.0	69.0	83	63.6	0	1	180	0.00	30.015	0	0.000	-100000.0
20110628 02:20	68.4	68.4	68.4	83	63.0	0	0	-100000	0.00	30.015	0	0.000	-100000.0
20110628 02:25	67.6	67.6	67.6	84	62.6	0	0	-100000	0.00	30.015	0	0.000	-100000.0
20110628 02:30	67.1	67.1	67.1	86	62.8	0	0	-100000	0.00	30.017	0	0.000	-100000.0
20110628 02:35	66.8	66.8	66.8	87	62.8	0	0	-100000	0.00	30.017	0	0.000	-100000.0
20110628 02:40	66.7	66.7	66.7	88	63.0	0	0	-100000	0.00	30.017	0	0.000	-100000.0
20110628 02:45	66.7	66.7	66.7	88	63.0	0	0	-100000	0.00	30.011	0	0.000	-100000.0
20110628 02:50	66.7	66.7	66.7	88	63.0	0	1	180	0.00	30.011	0	0.000	-100000.0
