--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20070523 00:00	57.2	57.2	57.2	66	45.9	2	6	135	0.00	30.430	0	0.002	-100000.0
20070523 00:05	57.2	57.2	57.2	66	45.9	5	9	135	0.00	30.430	0	0.000	-100000.0
20070523 00:10	57.0	57.0	57.0	67	46.2	4	7	135	0.00	30.430	0	0.000	-100000.0
20070523 00:15	57.0	57.0	57.0	67	46.2	3	6	135	0.00	30.426	0	0.000	-100000.0
20070523 00:20	57.0	57.0	57.0	68	46.5	4	10	135	0.00	30.426	0	0.000	-100000.0
20070523 00:25	56.9	56.9	56.9	68	46.4	3	8	135	0.00	30.426	0	0.000	-100000.0
20070523 00:30	56.6	56.6	56.6	69	46.5	4	9	135	0.00	30.425	0	0.000	-100000.0
20070523 00:35	56.5	56.5	56.5	70	46.8	3	5	135	0.00	30.425	0	0.000	-100000.0
20070523 00:40	56.3	56.3	56.3	71	47.0	4	9	135	0.00	30.425	0	0.000	-100000.0
20070523 00:45	56.2	56.2	56.2	72	47.3	5	9	135	0.00	30.432	0	0.000	-100000.0
20070523 00:50	56.0	56.0	56.0	72	47.1	5	9	135	0.00	30.432	0	0.000	-100000.0
20070523 00:55	55.9	55.9	55.9	73	47.4	5	10	135	0.00	30.432	0	0.000	-100000.0
20070523 01:00	55.9	55.9	55.9	74	47.7	4	7	158	0.00	30.426	0	0.002	-100000.0
20070523 01:05	55.7	55.7	55.7	74	47.5	2	5	135	0.00	30.426	0	0.000	-100000.0
20070523 01:10	55.6	55.6	55.6	75	47.8	3	7	135	0.00	30.426	0	0.000	-100000.0
20070523 01:15	55.4	55.4	55.4	76	48.0	2	6	135	0.00	30.428	0	0.000	-100000.0
20070523 01:20	55.3	55.3	55.3	76	47.9	3	6	135	0.00	30.428	0	0.000	-100000.0
20070523 01:25	55.1	55.1	55.1	77	48.0	3	6	158	0.00	30.428	0	0.000	-100000.0
