--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20110404 00:00	41.7	41.7	41.7	47	23.0	0	1	270	0.00	30.046	0	0.001	-100000.0
20110404 00:05	41.5	41.5	41.5	50	24.3	0	1	270	0.00	30.046	0	0.000	-100000.0
20110404 00:10	41.0	41.0	41.0	48	22.8	0	2	270	0.00	30.046	0	0.000	-100000.0
20110404 00:15	40.7	40.7	40.7	48	22.6	0	2	270	0.00	30.046	0	0.000	-100000.0
20110404 00:20	40.8	40.8	40.8	49	23.1	0	3	270	0.00	30.046	0	0.000	-100000.0
20110404 00:25	39.6	39.6	39.6	53	23.9	1	4	248	0.00	30.046	0	0.000	-100000.0
20110404 00:30	39.4	39.4	39.4	53	23.7	0	1	248	0.00	30.045	0	0.000	-100000.0
20110404 00:35	39.8	39.8	39.8	54	24.5	0	1	248	0.00	30.045	0	0.000	-100000.0
20110404 00:40	39.8	39.8	39.8	54	24.5	0	0	-100000	0.00	30.045	0	0.000	-100000.0
20110404 00:45	39.7	39.7	39.7	55	24.9	0	0	-100000	0.00	30.037	0	0.000	-100000.0
20110404 00:50	39.7	39.7	39.7	55	24.9	0	1	248	0.00	30.037	0	0.000	-100000.0
20110404 00:55	39.7	39.7	39.7	55	24.9	0	1	248	0.00	30.037	0	0.000	-100000.0
20110404 01:00	39.1	39.1	39.1	57	25.2	0	1	248	0.00	30.031	0	0.001	-100000.0
20110404 01:05	38.3	38.3	38.3	56	24.0	0	0	-100000	0.00	30.031	0	0.000	-100000.0
20110404 01:10	38.0	38.0	38.0	55	23.3	0	0	-100000	0.00	30.031	0	0.000	-100000.0
20110404 01:15	38.0	38.0	38.0	54	22.9	0	1	248	0.00	30.036	0	0.000	-100000.0
20110404 01:20	38.1	38.1	38.1	54	22.9	0	0	-100000	0.00	30.036	0	0.000	-100000.0
