--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20100727 00:00	66.8	66.8	66.8	74	58.2	0	2	135	0.00	30.052	0	0.001	-100000.0
20100727 00:05	66.2	66.2	66.2	75	58.0	0	0	-100000	0.00	30.052	0	0.000	-100000.0
20100727 00:10	65.9	65.9	65.9	77	58.5	0	2	135	0.00	30.052	0	0.000	-100000.0
20100727 00:15	65.9	65.9	65.9	76	58.1	0	4	158	0.00	30.057	0	0.000	-100000.0
20100727 00:20	65.9	65.9	65.9	76	58.1	0	2	158	0.00	30.057	0	0.000	-100000.0
20100727 00:25	65.9	65.9	65.9	77	58.5	0	1	158	0.00	30.057	0	0.000	-100000.0
20100727 00:30	65.4	65.4	65.4	78	58.4	0	0	-100000	0.00	30.057	0	0.000	-100000.0
20100727 00:35	64.8	64.8	64.8	78	57.8	0	1	158	0.00	30.057	0	0.000	-100000.0
20100727 00:40	64.6	64.6	64.6	79	57.9	0	1	135	0.00	30.057	0	0.000	-100000.0
20100727 00:45	64.3	64.3	64.3	79	57.6	0	1	158	0.00	30.059	0	0.000	-100000.0
20100727 00:50	64.1	64.1	64.1	80	57.8	0	0	-100000	0.00	30.059	0	0.000	-100000.0
20100727 00:55	63.7	63.7	63.7	81	57.8	0	0	-100000	0.00	30.059	0	0.000	-100000.0
20100727 01:00	63.4	63.4	63.4	82	57.8	0	0	-100000	0.00	30.060	0	0.001	-100000.0
20100727 01:05	63.2	63.2	63.2	82	57.6	0	1	135	0.00	30.060	0	0.000	-100000.0
20100727 01:10	62.9	62.9	62.9	84	58.0	0	0	-100000	0.00	30.060	0	0.000	-100000.0
20100727 01:15	62.7	62.7	62.7	84	57.8	0	0	-100000	0.00	30.064	0	0.000	-100000.0
20100727 01:20	62.5	62.5	62.5	84	57.6	0	0	-100000	0.00	30.064	0	0.000	-100000.0
20100727 01:25	62.4	62.4	62.4	85	57.8	0	1	135	0.00	30.064	0	0.000	-100000.0
20100727 01:30	62.2	62.2	62.2	85	57.6	0	1	158	0.00	30.068	0	0.000	-100000.0
20100727 01:35	63.1	63.1	63.1	85	58.5	1	4	158	0.00	30.068	0	0.000	-100000.0
20100727 01:40	63.3	63.3	63.3	84	58.4	0	1	135	0.00	30.068	0	0.000	-100000.0
20100727 01:45	63.1	63.1	63.1	84	58.2	0	1	158	0.00	30.066	0	0.000	-100000.0
20100727 01:50	62.5	62.5	62.5	84	57.6	0	1	158	0.00	30.066	0	0.000	-100000.0
20100727 01:55	62.0	62.0	62.0	85	57.4	0	1	158	0.00	30.066	0	0.000	-100000.0
20100727 02:00	61.8	61.8	61.8	86	57.6	1	3	158	0.00	30.066	0	0.001	-100000.0
