--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20080509 00:00	56.4	56.4	56.4	58	41.8	0	1	270	0.00	29.838	0	0.001	-100000.0
20080509 00:05	56.4	56.4	56.4	58	41.8	0	0	-100000	0.00	29.838	0	0.000	-100000.0
20080509 00:10	56.4	56.4	56.4	58	41.8	0	2	270	0.00	29.838	0	0.000	-100000.0
20080509 00:15	56.2	56.2	56.2	59	42.1	0	1	248	0.00	29.844	0	0.000	-100000.0
20080509 00:20	55.9	55.9	55.9	61	42.6	0	0	-100000	0.00	29.844	0	0.000	-100000.0
20080509 00:25	55.5	55.5	55.5	61	42.3	0	1	0	0.00	29.844	0	0.000	-100000.0
20080509 00:30	55.3	55.3	55.3	60	41.7	0	1	0	0.00	29.846	0	0.000	-100000.0
20080509 00:35	55.4	55.4	55.4	60	41.7	0	1	22	0.00	29.846	0	0.000	-100000.0
20080509 00:40	55.5	55.5	55.5	60	41.8	0	1	22	0.00	29.846	0	0.000	-100000.0
20080509 00:45	55.5	55.5	55.5	60	41.8	0	1	22	0.00	29.846	0	0.000	-100000.0
20080509 00:50	55.4	55.4	55.4	60	41.7	1	3	45	0.00	29.846	0	0.000	-100000.0
20080509 00:55	55.1	55.1	55.1	61	41.9	1	3	45	0.00	29.846	0	0.000	-100000.0
20080509 01:00	55.0	55.0	55.0	61	41.8	1	3	68	0.00	29.846	0	0.001	-100000.0
20080509 01:05	54.7	54.7	54.7	62	41.9	2	5	45	0.00	29.846	0	0.000	-100000.0
20080509 01:10	54.4	54.4	54.4	63	42.1	3	5	22	0.00	29.846	0	0.000	-100000.0
20080509 01:15	54.2	54.2	54.2	63	41.9	3	6	22	0.00	29.835	0	0.000	-100000.0
20080509 01:20	54.1	54.1	54.1	63	41.8	2	5	45	0.00	29.835	0	0.000	-100000.0
20080509 01:25	53.6	53.6	53.6	65	42.1	1	4	68	0.00	29.835	0	0.000	-100000.0
20080509 01:30	53.3	53.3	53.3	66	42.2	2	6	45	0.00	29.834	0	0.000	-100000.0
20080509 01:35	53.2	53.2	53.2	65	41.7	1	5	45	0.00	29.834	0	0.000	-100000.0
20080509 01:40	53.0	53.0	53.0	65	41.6	1	4	68	0.00	29.834	0	0.000	-100000.0
20080509 01:45	52.8	52.8	52.8	66	41.8	1	3	68	0.00	29.839	0	0.000	-100000.0
20080509 01:50	52.8	52.8	52.8	65	41.4	1	3	68	0.00	29.839	0	0.000	-100000.0
20080509 01:55	52.9	52.9	52.9	65	41.5	1	4	22	0.00	29.839	0	0.000	-100000.0
20080509 02:00	53.0	53.0	53.0	65	41.6	1	4	22	0.00	29.841	0	0.001	-100000.0
20080509 02:05	53.0	53.0	53.0	64	41.2	1	5	45	0.00	29.841	0	0.000	-100000.0
20080509 02:10	53.0	53.0	53.0	64	41.2	0	1	90	0.00	29.841	0	0.000	-100000.0
20080509 02:15	52.9	52.9	52.9	64	41.1	0	1	90	0.00	29.850	0	0.000	-100000.0
20080509 02:20	52.7	52.7	52.7	65	41.3	0	1	90	0.00	29.850	0	0.000	-100000.0
20080509 02:25	52.7	52.7	52.7	64	40.9	0	1	90	0.00	29.850	0	0.000	-100000.0
20080509 02:30	52.8	52.8	52.8	64	41.0	0	1	90	0.00	29.847	0	0.000	-100000.0
20080509 02:35	53.2	53.2	53.2	62	40.5	0	1	45	0.00	29.847	0	0.000	-100000.0
20080509 02:40	53.3	53.3	53.3	62	40.6	0	1	45	0.00	29.847	0	0.000	-100000.0
20080509 02:45	53.4	53.4	53.4	63	41.1	0	1	45	0.00	29.852	0	0.000	-100000.0
20080509 02:50	53.1	53.1	53.1	63	40.8	0	0	-100000	0.00	29.852	0	0.000	-100000.0
20080509 02:55	52.7	52.7	52.7	63	40.5	0	1	68	0.00	29.852	0	0.000	-100000.0
20080509 03:00	52.6	52.6	52.6	63	40.4	0	1	68	0.00	29.861	0	0.001	-100000.0
20080509 03:05	52.2	52.2	52.2	67	41.6	0	1	112	0.00	29.861	0	0.000	-100000.0
