--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20070404 00:00	36.9	36.9	36.9	75	29.7	3	7	112	0.00	30.266	0	0.001	-100000.0
20070404 00:05	36.8	36.8	36.8	76	30.0	3	7	90	0.00	30.266	0	0.000	-100000.0
20070404 00:10	36.8	36.8	36.8	76	30.0	2	6	112	0.00	30.266	0	0.000	-100000.0
20070404 00:15	36.6	36.6	36.6	77	30.1	3	7	135	0.00	30.265	0	0.000	-100000.0
20070404 00:20	36.6	36.6	36.6	77	30.1	1	5	45	0.00	30.265	0	0.000	-100000.0
20070404 00:25	36.5	36.5	36.5	78	30.3	1	3	45	0.00	30.265	0	0.000	-100000.0
20070404 00:30	36.5	36.5	36.5	78	30.3	1	2	45	0.00	30.259	0	0.000	-100000.0
20070404 00:35	36.3	36.3	36.3	78	30.1	2	4	45	0.00	30.259	0	0.000	-100000.0
20070404 00:40	36.3	36.3	36.3	78	30.1	1	3	68	0.00	30.259	0	0.000	-100000.0
20070404 00:45	36.5	36.5	36.5	78	30.3	1	5	90	0.00	30.255	0	0.000	-100000.0
20070404 00:50	36.3	36.3	36.3	78	30.1	1	3	90	0.00	30.255	0	0.000	-100000.0
20070404 00:55	36.5	36.5	36.5	78	30.3	1	6	90	0.00	30.255	0	0.000	-100000.0
20070404 01:00	36.3	36.3	36.3	78	30.1	3	5	68	0.00	30.258	0	0.001	-100000.0
20070404 01:05	36.3	36.3	36.3	78	30.1	2	6	90	0.00	30.258	0	0.000	-100000.0
20070404 01:10	36.3	36.3	36.3	78	30.1	2	5	135	0.00	30.258	0	0.000	-100000.0
20070404 01:15	36.3	36.3	36.3	78	30.1	2	4	135	0.00	30.249	0	0.000	-100000.0
20070404 01:20	36.5	36.5	36.5	78	30.3	1	6	112	0.00	30.249	0	0.000	-100000.0
20070404 01:25	36.5	36.5	36.5	78	30.3	2	5	90	0.00	30.249	0	0.000	-100000.0
20070404 01:30	36.3	36.3	36.3	78	30.1	2	5	135	0.00	30.246	0	0.000	-100000.0
20070404 01:35	36.3	36.3	36.3	78	30.1	2	6	112	0.00	30.246	0	0.000	-100000.0
20070404 01:40	36.2	36.2	36.2	78	30.0	2	5	135	0.00	30.246	0	0.000	-100000.0
20070404 01:45	36.2	36.2	36.2	78	30.0	2	5	68	0.00	30.248	0	0.000	-100000.0
20070404 01:50	36.2	36.2	36.2	78	30.0	3	6	112	0.00	30.248	0	0.000	-100000.0
20070404 01:55	36.2	36.2	36.2	79	30.3	2	6	112	0.00	30.248	0	0.000	-100000.0
20070404 02:00	36.2	36.2	36.2	79	30.3	1	4	68	0.00	30.237	0	0.001	-100000.0
20070404 02:05	36.0	36.0	36.0	79	30.1	2	4	135	0.00	30.237	0	0.000	-100000.0
20070404 02:10	36.2	36.2	36.2	79	30.3	1	7	112	0.00	30.237	0	0.000	-100000.0
20070404 02:15	36.2	32.9	36.2	79	30.3	4	9	112	0.00	30.231	0	0.000	-100000.0
20070404 02:20	36.2	36.2	36.2	79	30.3	2	5	112	0.00	30.231	0	0.000	-100000.0
20070404 02:25	36.2	36.2	36.2	79	30.3	2	6	112	0.00	30.231	0	0.000	-100000.0
20070404 02:30	36.2	36.2	36.2	79	30.3	2	6	90	0.00	30.222	0	0.000	-100000.0
20070404 02:35	36.2	36.2	36.2	80	30.6	1	5	135	0.00	30.222	0	0.000	-100000.0
20070404 02:40	36.2	36.2	36.2	79	30.3	2	5	135	0.00	30.222	0	0.000	-100000.0
20070404 02:45	36.0	32.7	36.0	80	30.4	4	7	135	0.00	30.220	0	0.000	-100000.0
20070404 02:50	36.2	36.2	36.2	80	30.6	2	9	135	0.00	30.220	0	0.000	-100000.0
20070404 02:55	36.2	36.2	36.2	80	30.6	2	6	112	0.00	30.220	0	0.000	-100000.0
20070404 03:00	36.2	36.2	36.2	80	30.6	2	5	112	0.00	30.219	0	0.001	-100000.0
20070404 03:05	36.0	36.0	36.0	81	30.7	1	3	90	0.00	30.219	0	0.000	-100000.0
20070404 03:10	36.0	36.0	36.0	81	30.7	0	3	90	0.00	30.219	0	0.000	-100000.0
20070404 03:15	36.0	36.0	36.0	81	30.7	2	5	90	0.00	30.217	0	0.000	-100000.0
20070404 03:20	35.9	35.9	35.9	81	30.6	2	4	112	0.00	30.217	0	0.000	-100000.0
20070404 03:25	35.9	35.9	35.9	81	30.6	2	5	90	0.00	30.217	0	0.000	-100000.0
20070404 03:30	35.9	35.9	35.9	81	30.6	1	4	68	0.00	30.212	0	0.000	-100000.0
20070404 03:35	35.9	35.9	35.9	81	30.6	2	5	112	0.00	30.212	0	0.000	-100000.0
20070404 03:40	35.8	35.8	35.8	81	30.6	2	5	90	0.00	30.212	0	0.000	-100000.0
20070404 03:45	35.8	35.8	35.8	81	30.6	2	7	112	0.00	30.201	0	0.000	-100000.0
20070404 03:50	35.9	35.9	35.9	81	30.6	2	5	90	0.00	30.201	0	0.000	-100000.0
20070404 03:55	35.9	35.9	35.9	81	30.6	3	6	90	0.00	30.201	0	0.000	-100000.0
20070404 04:00	35.8	35.8	35.8	81	30.6	3	6	90	0.00	30.186	0	0.001	-100000.0
20070404 04:05	35.8	35.8	35.8	82	30.9	3	7	112	0.00	30.186	0	0.000	-100000.0
20070404 04:10	35.8	35.8	35.8	82	30.9	2	5	68	0.00	30.186	0	0.000	-100000.0
20070404 04:15	35.8	32.5	35.8	82	30.9	4	13	112	0.00	30.181	0	0.000	-100000.0
20070404 04:20	35.6	35.6	35.6	82	30.7	3	10	112	0.00	30.181	0	0.000	-100000.0
20070404 04:25	35.5	32.1	35.5	82	30.6	4	7	112	0.00	30.181	0	0.000	-100000.0
20070404 04:30	35.5	35.5	35.5	83	30.9	2	7	45	0.00	30.175	0	0.000	-100000.0
20070404 04:35	35.5	35.5	35.5	83	30.9	3	9	112	0.00	30.175	0	0.000	-100000.0
20070404 04:40	35.5	35.5	35.5	83	30.9	2	5	112	0.00	30.175	0	0.000	-100000.0
20070404 04:45	35.5	35.5	35.5	83	30.9	1	4	112	0.00	30.173	0	0.000	-100000.0
20070404 04:50	35.5	35.5	35.5	83	30.9	2	5	135	0.00	30.173	0	0.000	-100000.0
20070404 04:55	35.5	35.5	35.5	83	30.9	0	1	135	0.00	30.173	0	0.000	-100000.0
20070404 05:00	35.8	35.8	35.8	83	31.2	0	1	135	0.00	30.175	0	0.000	-100000.0
20070404 05:05	35.8	35.8	35.8	82	30.9	2	6	90	0.00	30.175	0	0.000	-100000.0
20070404 05:10	35.8	35.8	35.8	82	30.9	2	7	68	0.00	30.175	0	0.000	-100000.0
