--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20130110 00:00	46.0	41.1	46.0	49	27.9	10	23	292	0.00	30.129	0	0.003	-100000.0
20130110 00:05	45.9	41.3	45.9	50	28.3	9	16	292	0.00	30.129	0	0.000	-100000.0
20130110 00:10	45.8	41.7	45.8	50	28.2	8	22	292	0.00	30.129	0	0.000	-100000.0
20130110 00:15	45.9	41.0	45.9	51	28.8	10	18	270	0.00	30.136	0	0.000	-100000.0
20130110 00:20	46.3	39.4	46.3	51	29.2	17	33	292	0.00	30.136	0	0.000	-100000.0
20130110 00:25	46.1	40.2	46.1	52	29.5	13	26	292	0.00	30.136	0	0.000	-100000.0
20130110 00:30	46.0	39.5	46.0	52	29.4	15	39	292	0.00	30.144	0	0.000	-100000.0
20130110 00:35	46.1	39.6	46.1	52	29.5	15	24	292	0.00	30.144	0	0.000	-100000.0
20130110 00:40	46.0	39.8	46.0	52	29.4	14	28	292	0.00	30.144	0	0.000	-100000.0
20130110 00:45	46.1	39.9	46.1	52	29.5	14	26	292	0.00	30.147	0	0.000	-100000.0
20130110 00:50	46.0	39.0	46.0	52	29.4	17	31	270	0.00	30.147	0	0.000	-100000.0
20130110 00:55	46.0	39.5	46.0	52	29.4	15	25	315	0.00	30.147	0	0.000	-100000.0
20130110 01:00	46.1	38.7	46.1	52	29.5	19	33	292	0.00	30.155	0	0.004	-100000.0
20130110 01:05	45.9	38.4	45.9	52	29.3	19	37	270	0.00	30.155	0	0.000	-100000.0
20130110 01:10	45.5	37.5	45.5	56	30.7	21	44	315	0.01	30.155	0	0.000	-100000.0
20130110 01:15	44.4	36.7	44.4	60	31.4	18	33	315	0.00	30.188	0	0.000	-100000.0
20130110 01:20	43.4	37.5	43.4	63	31.7	11	26	292	0.00	30.188	0	0.000	-100000.0
20130110 01:25	42.7	37.0	42.7	65	31.8	10	22	315	0.00	30.188	0	0.000	-100000.0
20130110 01:30	42.7	35.6	42.7	63	31.0	14	28	292	0.00	30.202	0	0.000	-100000.0
20130110 01:35	42.7	35.6	42.7	61	30.2	14	30	315	0.00	30.202	0	0.000	-100000.0
20130110 01:40	42.8	36.7	42.8	60	29.9	11	23	292	0.00	30.202	0	0.000	-100000.0
20130110 01:45	43.0	35.1	43.0	58	29.2	17	36	315	0.00	30.207	0	0.000	-100000.0
20130110 01:50	42.9	36.5	42.9	58	29.2	12	22	315	0.00	30.207	0	0.000	-100000.0
20130110 01:55	42.9	35.6	42.9	58	29.2	15	29	338	0.00	30.207	0	0.000	-100000.0
20130110 02:00	42.8	35.7	42.8	59	29.5	14	31	0	0.00	30.221	0	0.004	-100000.0
20130110 02:05	42.8	35.4	42.8	58	29.1	15	26	315	0.00	30.221	0	0.000	-100000.0
20130110 02:10	42.9	35.8	42.9	58	29.2	14	26	0	0.00	30.221	0	0.000	-100000.0
20130110 02:15	42.7	36.6	42.7	58	29.0	11	18	315	0.00	30.224	0	0.000	-100000.0
20130110 02:20	42.9	36.2	42.9	57	28.7	13	25	0	0.00	30.224	0	0.000	-100000.0
20130110 02:25	43.0	36.0	43.0	57	28.8	14	25	338	0.00	30.224	0	0.000	-100000.0
20130110 02:30	43.0	36.3	43.0	57	28.8	13	26	338	0.00	30.220	0	0.000	-100000.0
20130110 02:35	43.0	36.0	43.0	57	28.8	14	29	0	0.00	30.220	0	0.000	-100000.0
20130110 02:40	42.9	36.2	42.9	58	29.2	13	24	338	0.00	30.220	0	0.000	-100000.0
20130110 02:45	42.8	35.4	42.8	58	29.1	15	27	315	0.00	30.219	0	0.000	-100000.0
20130110 02:50	42.9	35.0	42.9	58	29.2	17	30	292	0.00	30.219	0	0.000	-100000.0
20130110 02:55	42.9	35.6	42.9	59	29.6	15	31	315	0.00	30.219	0	0.000	-100000.0
20130110 03:00	42.7	35.6	42.7	59	29.4	14	26	338	0.00	30.227	0	0.003	-100000.0
20130110 03:05	42.7	35.6	42.7	60	29.8	14	25	315	0.00	30.227	0	0.000	-100000.0
20130110 03:10	42.4	37.5	42.4	60	29.5	8	18	315	0.00	30.227	0	0.000	-100000.0
20130110 03:15	42.4	35.9	42.4	61	29.9	12	21	338	0.00	30.235	0	0.000	-100000.0
20130110 03:20	42.4	36.6	42.4	61	29.9	10	26	315	0.00	30.235	0	0.000	-100000.0
20130110 03:25	42.5	35.0	42.5	59	29.2	15	27	315	0.00	30.235	0	0.000	-100000.0
20130110 03:30	42.5	34.5	42.5	58	28.8	17	29	338	0.00	30.236	0	0.000	-100000.0
20130110 03:35	42.6	34.9	42.6	56	28.0	16	32	292	0.00	30.236	0	0.000	-100000.0
20130110 03:40	42.5	35.0	42.5	56	27.9	15	28	315	0.00	30.236	0	0.000	-100000.0
20130110 03:45	42.4	35.2	42.4	55	27.4	14	30	315	0.00	30.246	0	0.000	-100000.0
20130110 03:50	42.3	34.0	42.3	54	26.9	18	35	315	0.00	30.246	0	0.000	-100000.0
20130110 03:55	42.1	34.5	42.1	55	27.1	15	29	338	0.00	30.246	0	0.000	-100000.0
20130110 04:00	41.9	34.9	41.9	56	27.4	13	26	315	0.00	30.234	0	0.003	-100000.0
20130110 04:05	41.5	34.7	41.5	57	27.4	12	23	315	0.00	30.234	0	0.000	-100000.0
20130110 04:10	41.7	33.7	41.7	56	27.2	16	30	315	0.00	30.234	0	0.000	-100000.0
20130110 04:15	41.7	33.5	41.7	57	27.6	17	33	315	0.00	30.236	0	0.000	-100000.0
20130110 04:20	41.3	34.1	41.3	57	27.2	13	23	315	0.00	30.236	0	0.000	-100000.0
20130110 04:25	41.2	34.0	41.2	57	27.1	13	22	315	0.00	30.236	0	0.000	-100000.0
20130110 04:30	41.1	35.0	41.1	58	27.5	10	23	315	0.00	30.249	0	0.000	-100000.0
20130110 04:35	41.1	33.9	41.1	58	27.5	13	25	315	0.00	30.249	0	0.000	-100000.0
20130110 04:40	41.1	33.9	41.1	58	27.5	13	25	315	0.00	30.249	0	0.000	-100000.0
20130110 04:45	40.9	34.4	40.9	58	27.3	11	20	292	0.00	30.263	0	0.000	-100000.0
20130110 04:50	40.9	34.0	40.9	57	26.9	12	25	292	0.00	30.263	0	0.000	-100000.0
20130110 04:55	40.7	34.1	40.7	58	27.1	11	22	292	0.00	30.263	0	0.000	-100000.0
20130110 05:00	40.6	34.4	40.6	58	27.0	10	25	315	0.00	30.271	0	0.003	-100000.0
20130110 05:05	40.7	33.4	40.7	57	26.7	13	23	315	0.00	30.271	0	0.000	-100000.0
20130110 05:10	40.5	34.3	40.5	58	26.9	10	19	292	0.00	30.271	0	0.000	-100000.0
20130110 05:15	40.3	35.5	40.3	58	26.7	7	16	315	0.00	30.271	0	0.000	-100000.0
20130110 05:20	40.3	34.0	40.3	58	26.7	10	18	315	0.00	30.271	0	0.000	-100000.0
20130110 05:25	40.3	35.0	40.3	58	26.7	8	17	0	0.00	30.271	0	0.000	-100000.0
20130110 05:30	40.3	35.5	40.3	57	26.3	7	18	338	0.00	30.289	0	0.000	-100000.0
20130110 05:35	40.2	36.0	40.2	58	26.6	6	18	315	0.00	30.289	0	0.000	-100000.0
20130110 05:40	40.2	33.9	40.2	57	26.2	10	17	315	0.00	30.289	0	0.000	-100000.0
20130110 05:45	40.0	36.5	40.0	58	26.4	5	13	0	0.00	30.297	0	0.000	-100000.0
