--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20100712 00:00	72.2	72.2	72.2	86	67.8	0	1	180	0.00	29.910	0	0.001	-100000.0
20100712 00:05	71.9	71.9	71.9	87	67.8	0	1	180	0.00	29.910	0	0.000	-100000.0
20100712 00:10	71.8	71.8	71.8	87	67.7	0	1	180	0.00	29.910	0	0.000	-100000.0
20100712 00:15	71.5	71.5	71.5	87	67.4	0	1	180	0.00	29.912	0	0.000	-100000.0
20100712 00:20	71.3	71.3	71.3	88	67.6	0	2	180	0.00	29.912	0	0.000	-100000.0
20100712 00:25	71.3	71.3	71.3	88	67.6	0	1	180	0.00	29.912	0	0.000	-100000.0
20100712 00:30	71.3	71.3	71.3	87	67.2	0	1	180	0.00	29.913	0	0.000	-100000.0
20100712 00:35	71.3	71.3	71.3	86	66.9	0	1	180	0.00	29.913	0	0.000	-100000.0
20100712 00:40	71.3	71.3	71.3	86	66.9	0	0	-100000	0.00	29.913	0	0.000	-100000.0
20100712 00:45	71.3	71.3	71.3	86	66.9	0	0	-100000	0.00	29.913	0	0.000	-100000.0
20100712 00:50	71.3	71.3	71.3	86	66.9	0	0	-100000	0.00	29.913	0	0.000	-100000.0
20100712 00:55	71.0	71.0	71.0	87	66.9	0	1	180	0.00	29.913	0	0.000	-100000.0
20100712 01:00	70.8	70.8	70.8	87	66.7	0	1	180	0.00	29.917	0	0.001	-100000.0
20100712 01:05	70.7	70.7	70.7	86	66.3	0	1	180	0.00	29.917	0	0.000	-100000.0
20100712 01:10	70.7	70.7	70.7	86	66.3	0	1	180	0.00	29.917	0	0.000	-100000.0
20100712 01:15	70.8	70.8	70.8	87	66.7	0	1	180	0.00	29.915	0	0.000	-100000.0
20100712 01:20	70.7	70.7	70.7	86	66.3	0	1	180	0.00	29.915	0	0.000	-100000.0
20100712 01:25	70.7	70.7	70.7	86	66.3	0	0	-100000	0.00	29.915	0	0.000	-100000.0
20100712 01:30	70.8	70.8	70.8	87	66.7	0	1	180	0.00	29.917	0	0.000	-100000.0
20100712 01:35	70.6	70.6	70.6	87	66.5	0	1	180	0.00	29.917	0	0.000	-100000.0
20100712 01:40	70.6	70.6	70.6	87	66.5	0	1	180	0.00	29.917	0	0.000	-100000.0
20100712 01:45	70.7	70.7	70.7	87	66.6	0	1	180	0.00	29.916	0	0.000	-100000.0
20100712 01:50	70.7	70.7	70.7	87	66.6	0	1	180	0.00	29.916	0	0.000	-100000.0
20100712 01:55	70.6	70.6	70.6	87	66.5	0	1	180	0.00	29.916	0	0.000	-100000.0
20100712 02:00	70.6	70.6	70.6	88	66.9	0	1	180	0.00	29.915	0	0.001	-100000.0
20100712 02:05	70.8	70.8	70.8	88	67.1	0	1	180	0.00	29.915	0	0.000	-100000.0
20100712 02:10	70.7	70.7	70.7	88	67.0	0	0	-100000	0.00	29.915	0	0.000	-100000.0
20100712 02:15	70.7	70.7	70.7	88	67.0	0	1	180	0.00	29.915	0	0.000	-100000.0
20100712 02:20	70.4	70.4	70.4	88	66.7	0	1	180	0.00	29.915	0	0.000	-100000.0
20100712 02:25	70.2	70.2	70.2	88	66.5	0	1	180	0.00	29.915	0	0.000	-100000.0
20100712 02:30	70.0	70.0	70.0	89	66.6	0	2	180	0.00	29.917	0	0.000	-100000.0
20100712 02:35	69.9	69.9	69.9	89	66.5	0	0	-100000	0.00	29.917	0	0.000	-100000.0
20100712 02:40	69.8	69.8	69.8	90	66.7	0	0	-100000	0.00	29.917	0	0.000	-100000.0
20100712 02:45	69.7	69.7	69.7	90	66.6	0	0	-100000	0.00	29.917	0	0.000	-100000.0
20100712 02:50	69.5	69.5	69.5	90	66.4	0	0	-100000	0.00	29.917	0	0.000	-100000.0
20100712 02:55	69.2	69.2	69.2	90	66.1	0	1	180	0.00	29.917	0	0.000	-100000.0
20100712 03:00	68.9	68.9	68.9	91	66.2	0	1	180	0.00	29.922	0	0.000	-100000.0
20100712 03:05	68.5	68.5	68.5	91	65.8	0	1	180	0.00	29.922	0	0.000	-100000.0
20100712 03:10	68.3	68.3	68.3	92	65.9	0	1	180	0.00	29.922	0	0.000	-100000.0
20100712 03:15	68.1	68.1	68.1	93	66.0	0	0	-100000	0.00	29.927	0	0.000	-100000.0
20100712 03:20	68.1	68.1	68.1	93	66.0	0	1	180	0.00	29.927	0	0.000	-100000.0
20100712 03:25	68.3	68.3	68.3	93	66.2	0	1	180	0.00	29.927	0	0.000	-100000.0
20100712 03:30	68.4	68.4	68.4	94	66.6	0	0	-100000	0.00	29.928	0	0.000	-100000.0
20100712 03:35	68.3	68.3	68.3	93	66.2	0	1	180	0.00	29.928	0	0.000	-100000.0
20100712 03:40	68.3	68.3	68.3	94	66.5	0	0	-100000	0.00	29.928	0	0.000	-100000.0
20100712 03:45	68.2	68.2	68.2	94	66.4	0	0	-100000	0.00	29.925	0	0.000	-100000.0
20100712 03:50	68.0	68.0	68.0	94	66.2	0	0	-100000	0.00	29.925	0	0.000	-100000.0
20100712 03:55	67.8	67.8	67.8	94	66.0	0	0	-100000	0.00	29.925	0	0.000	-100000.0
20100712 04:00	67.6	67.6	67.6	94	65.8	0	0	-100000	0.00	29.920	0	0.000	-100000.0
20100712 04:05	67.4	67.4	67.4	94	65.6	0	1	180	0.00	29.920	0	0.000	-100000.0
20100712 04:10	67.2	67.2	67.2	94	65.4	0	1	180	0.00	29.920	0	0.000	-100000.0
20100712 04:15	67.2	67.2	67.2	94	65.4	0	1	180	0.00	29.929	0	0.000	-100000.0
20100712 04:20	67.2	67.2	67.2	95	65.7	0	1	180	0.00	29.929	0	0.000	-100000.0
20100712 04:25	67.2	67.2	67.2	95	65.7	0	0	-100000	0.00	29.929	0	0.000	-100000.0
